Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Physical Activity Behavior (HW)	PHVS_PhysicalActivityBehavior_HW	1.3.6.1.4.1.19376.1.7.3.1.1.23.8.9	1	To reflect Physical Activity Behavior	Published	03/06/2014	Initial Import for : 4F3C794A-A1A5-E311-8D07-0017A477041A

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
413460004	Aerobic exercise five times a week (finding)	Aerobic exercise five times a week (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
413461000	Aerobic exercise four times a week (finding)	Aerobic exercise four times a week (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
160637002	Aerobic exercise once a week (finding)	Aerobic exercise once a week (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
160639004	Aerobic exercise three or more times per week (finding)	Aerobic exercise three or more times per week (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
413462007	Aerobic exercise three times a week (finding)	Aerobic exercise three times a week (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
160638007	Aerobic exercise twice a week (finding)	Aerobic exercise twice a week (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
160636006	Aerobic exercise zero times a week (finding)	Aerobic exercise zero times a week (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
160641003	Anaerobic exercise once a week (finding)	Anaerobic exercise once a week (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
160643000	Anaerobic exercise three or more times per week (finding)	Anaerobic exercise three or more times per week (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
160642005	Anaerobic exercise twice a week (finding)	Anaerobic exercise twice a week (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
160640002	Anaerobic exercise zero times a week (finding)	Anaerobic exercise zero times a week (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
160644006	Attends exercise classes (finding)	Attends exercise classes (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
160630000	Avoids even trivial exercise (finding)	Avoids even trivial exercise (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
160634009	Competitive athlete (finding)	Competitive athlete (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
423675002	Difficulty following postpartum exercise routine (finding)	Difficulty following postpartum exercise routine (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
424037008	Difficulty following prenatal exercise routine (finding)	Difficulty following prenatal exercise routine (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
160633003	Enjoys heavy exercise (finding)	Enjoys heavy exercise (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
160645007	Enjoys intermediate exercise (finding)	Enjoys intermediate exercise (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
160631001	Enjoys light exercise (finding)	Enjoys light exercise (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
160632008	Enjoys moderate exercise (finding)	Enjoys moderate exercise (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
102533007	Excessive exercise (finding)	Excessive exercise (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
248120002	Excessive exercising to lose weight (finding)	Excessive exercising to lose weight (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
424805008	Exercise above recommended level (finding)	Exercise above recommended level (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
413300002	Exercise below recommended level (finding)	Exercise below recommended level (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
160629005	Exercise physically impossible (finding)	Exercise physically impossible (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
228448000	Exercises regularly (finding)	Exercises regularly (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
160646008	Frequency-intensity-time-type activity level 0; no moderate or vigorous activity with a duration of 20 minutes (finding)	Frequency-intensity-time-type activity level 0; no moderate or vigorous activity with a duration of 20 minutes (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
267124003	Frequency-intensity-time-type activity level 1 (finding)	Frequency-intensity-time-type activity level 1 (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
