Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Pneumonia Disease	PHVS_PneumoniaDisease_CDC	2.16.840.1.114222.4.11.3503	1	List of all the disease concepts related to Pneumonia. This is an intrinsic value set based upon SNOMED CT domain [233604007].	Published	11/11/2010	Based upon SNOMED July 31st,2010 version

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
196112005	Abscess of lung with pneumonia (disorder)	Abscess of lung with pneumonia (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
61884008	Achromobacter pneumonia (disorder)	Achromobacter pneumonia (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
276694004	Acquired neonatal pneumonia (disorder)	Acquired neonatal pneumonia (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
195908008	Actinomycotic pneumonia (disorder)	Actinomycotic pneumonia (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
123587001	Acute bronchopneumonia (disorder)	Acute bronchopneumonia (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
236302005	Acute interstitial pneumonia (disorder)	Acute interstitial pneumonia (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
123592004	Acute mucous pneumonia (disorder)	Acute mucous pneumonia (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
240741002	Acute pulmonary African histoplasmosis (disorder)	Acute pulmonary African histoplasmosis (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
58890000	Adenoviral bronchopneumonia (disorder)	Adenoviral bronchopneumonia (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
41207000	Adenoviral pneumonia (disorder)	Adenoviral pneumonia (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
17365008	Allergic pneumonia (disorder)	Allergic pneumonia (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
195902009	Anthrax pneumonia (disorder)	Anthrax pneumonia (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
422588002	Aspiration pneumonia (disorder)	Aspiration pneumonia (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
83608006	Aspiration pneumonia due to inhalation of milk (disorder)	Aspiration pneumonia due to inhalation of milk (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
42004004	Aspiration pneumonia due to inhalation of vomitus (disorder)	Aspiration pneumonia due to inhalation of vomitus (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
72854003	Aspiration pneumonia due to near drowning (disorder)	Aspiration pneumonia due to near drowning (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
