Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Postal Address Use (HL7)	PHVS_PostalAddressUse_HL7_V3	2.16.840.1.113883.1.11.10637	1		Published	03/27/2015	v1

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
BAD	bad address	bad address		2.16.840.1.113883.5.1119	Address Use (HL7)	PH_AddressUse_HL7_V3	20130801	AddressUse
CONF	confidential	confidential		2.16.840.1.113883.5.1119	Address Use (HL7)	PH_AddressUse_HL7_V3	20130801	AddressUse
DIR	direct	direct		2.16.840.1.113883.5.1119	Address Use (HL7)	PH_AddressUse_HL7_V3	20130801	AddressUse
H	home address	home address		2.16.840.1.113883.5.1119	Address Use (HL7)	PH_AddressUse_HL7_V3	20130801	AddressUse
PHYS	physical visit address	physical visit address		2.16.840.1.113883.5.1119	Address Use (HL7)	PH_AddressUse_HL7_V3	20130801	AddressUse
PST	postal address	postal address		2.16.840.1.113883.5.1119	Address Use (HL7)	PH_AddressUse_HL7_V3	20130801	AddressUse
HP	primary home	primary home		2.16.840.1.113883.5.1119	Address Use (HL7)	PH_AddressUse_HL7_V3	20130801	AddressUse
PUB	public	public		2.16.840.1.113883.5.1119	Address Use (HL7)	PH_AddressUse_HL7_V3	20130801	AddressUse
TMP	temporary	temporary		2.16.840.1.113883.5.1119	Address Use (HL7)	PH_AddressUse_HL7_V3	20130801	AddressUse
HV	vacation home	vacation home		2.16.840.1.113883.5.1119	Address Use (HL7)	PH_AddressUse_HL7_V3	20130801	AddressUse
WP	work place	work place		2.16.840.1.113883.5.1119	Address Use (HL7)	PH_AddressUse_HL7_V3	20130801	AddressUse
