Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Pregnancy Risk Factors (NCHS)	PHVS_PregnancyRiskFactors_NCHS	2.16.840.1.114222.4.11.7126	2	The value set contains the list of values used to indicate selected medical risk factors of the mother during this pregnancy.	Published	03/16/2015	Initial Import for : D5FC6EBA-3596-E211-89A9-0017A477041A

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
73211009	Diabetes mellitus	Diabetes / Prepregnancy (Diagnosis prior to pregnancy)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
11687002	Gestational diabetes mellitus	Diabetes / Gestational (Diagnosis in pregnancy)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
38341003	Hypertensive disorder, systemic arterial	Hypertension / Prepregnancy (chronic)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
48194001	Pregnancy-induced hypertension	Hypertension / Gestational (PIH, preeclampsia)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
15938005	Eclampsia	Hypertension / Eclampsia		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
161765003	History of - premature delivery	Previous preterm birth		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
445151000124101	Fertility enhancing drug therapy	Pregnancy resulted from infertility treatment		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
58533008	Artificial insemination 	Fertility-enhancing drugs, Artificial insemination or Intrauterine insemination		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
63487001	Assisted fertilization	Assisted reproductive technology (e.g. in vitro fertilization (IVF), gamete intrafallopian transfer (GIFT)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
200144004	Deliveries by cesarean	Mother had a previous cesarean delivery		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
260413007	None	None of the specified items in this value set (including concept codes: 73211009, 11687002, 8762007, 48194001, 15938005, 161765003, 271903000, 63487001, 58533008, 63487001, 200144004) were risks factors noted for this pregnancy.		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
