Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Prenatal Diagnostic Procedures	PHVS_PrenatalDiagnosticProcedures_CDC	2.16.840.1.114222.4.11.7462	1	List of non-laboratory prenatal diagnostic procedures such as Ultrasound, Amniocentesis, etc.…	Published	01/31/2016	Initial version to support the interim guidelines for pregnant women during Zika Outbreak. Used SNOMED Concept 268445003 US Obstetric as intrinsic value set.

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
34536000	Amniocentesis (procedure)	Amniocentesis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
427230007	Amniocentesis for possible chromosomal abnormality (procedure)	Amniocentesis for possible chromosomal abnormality		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
426287008	Amniocentesis for possible neural tube defect (procedure)	Amniocentesis for possible neural tube defect		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
217070006	Amniocentesis with complication, without blame (procedure)	Amniocentesis with complication, without blame		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
169668007	Antenatal ultrasound scan 4-8 weeks (procedure)	Antenatal ultrasound scan 4-8 weeks		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
169670003	Antenatal ultrasound scan at 17-22 weeks (procedure)	Antenatal ultrasound scan at 17-22 weeks		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
307813007	Antenatal ultrasound scan at 22-40 weeks (procedure)	Antenatal ultrasound scan at 22-40 weeks		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
169669004	Antenatal ultrasound scan at 9-16 weeks (procedure)	Antenatal ultrasound scan at 9-16 weeks		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
425551008	Antenatal ultrasound scan for possible abnormality (procedure)	Antenatal ultrasound scan for possible abnormality		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
433153009	Chorionic villus sampling using obstetric ultrasound guidance (procedure)	Chorionic villus sampling using obstetric ultrasound guidance		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
