Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Prepregnancy Diabetes (NCHS)	PHVS_PrepregnancyDiabetes_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.136	3	To Reflect Risk Factors of Prepregnancy Diabetes	Published	09/24/2014	Initial Import for : 90870326-98C3-DF11-AB08-0015173D1785

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
73211009	Diabetes mellitus	Diabetes mellitus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
4855003	Diabetic retinopathy	Diabetic retinopathy		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
5368009	Drug-induced diabetes mellitus 	Drug-induced diabetes mellitus 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
5969009	Diabetes mellitus associated with genetic syndrome	Diabetes mellitus associated with genetic syndrome		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
8801005	Secondary diabetes mellitus	Secondary diabetes mellitus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
9859006	Insulin-resistant diabetes mellitus AND acanthosis nigricans	Insulin-resistant diabetes mellitus AND acanthosis nigricans		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
11530004	Brittle diabetes	Brittle diabetes		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
23045005	Insulin dependent diabetes mellitus type IA	Insulin dependent diabetes mellitus type IA		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
25907005	Diabetic gangrene	Diabetic gangrene		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
26298008	Diabetic coma 	Diabetic coma 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
28032008	Insulin dependent diabetes mellitus type IB	Insulin dependent diabetes mellitus type IB		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
28453007	Maturity onset diabetes mellitus in young	Maturity onset diabetes mellitus in young		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
33559001	Pineal hyperplasia AND diabetes mellitus syndrome 	Pineal hyperplasia AND diabetes mellitus syndrome 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
34140002	Diabetic gastroparesis 	Diabetic gastroparesis 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
38542009	Nodular glomerulosclerosis 	Nodular glomerulosclerosis 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
39058009	Diabetic amyotrophy 	Diabetic amyotrophy 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
39181008	Diabetic radiculopathy 	Diabetic radiculopathy 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
42954008	Diabetes mellitus associated with receptor abnormality	Diabetes mellitus associated with receptor abnormality		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
43959009	Diabetic cataract	Diabetic cataract		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
44054006	Diabetes mellitus type 2	Diabetes mellitus type 2		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
49455004	Diabetic polyneuropathy 	Diabetic polyneuropathy 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
50620007	Diabetic autonomic neuropathy	Diabetic autonomic neuropathy		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
51002006	Diabetes mellitus associated with pancreatic disease	Diabetes mellitus associated with pancreatic disease		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
54181000	Diabetes-nephrosis syndrome 	Diabetes-nephrosis syndrome 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
57886004	Protein-deficient diabetes mellitus 	Protein-deficient diabetes mellitus 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
59079001	Diabetes mellitus associated with hormonal etiology	Diabetes mellitus associated with hormonal etiology		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
70694009	Diabetes mellitus AND insipidus with optic atrophy AND deafness 	Diabetes mellitus AND insipidus with optic atrophy AND deafness 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
75524006	Malnutrition related diabetes mellitus 	Malnutrition related diabetes mellitus 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
75682002	Diabetes mellitus due to insulin receptor antibodies	Diabetes mellitus due to insulin receptor antibodies		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
81531005	Diabetes mellitus type 2 in obese 	Diabetes mellitus type 2 in obese 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
81830002	Diabetic mononeuropathy simplex 	Diabetic mononeuropathy simplex 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
91352004	Diabetes mellitus due to structurally abnormal insulin	Diabetes mellitus due to structurally abnormal insulin		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
111552007	Diabetes mellitus without complication	Diabetes mellitus without complication		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
111558006	Insulin coma	Insulin coma		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
123763000	Houssay's syndrome 	Houssay's syndrome 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
127013003	Diabetic renal disease	Diabetic renal disease		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
127014009	Diabetic peripheral angiopathy	Diabetic peripheral angiopathy		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
190330002	Diabetes mellitus/ juvenile type/ with hyperosmolar coma	Diabetes mellitus/ juvenile type/ with hyperosmolar coma		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
190331003	Diabetes mellitus/ adult onset/ with hyperosmolar coma 	Diabetes mellitus/ adult onset/ with hyperosmolar coma 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
190368000	Type I diabetes mellitus with ulcer 	Type I diabetes mellitus with ulcer 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
190369008	Type I diabetes mellitus with gangrene	Type I diabetes mellitus with gangrene		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
190372001	Type I diabetes mellitus maturity onset	Type I diabetes mellitus maturity onset		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
190389009	Type II diabetes mellitus with ulcer 	Type II diabetes mellitus with ulcer 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
190390000	Type II diabetes mellitus with gangrene	Type II diabetes mellitus with gangrene		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
190406000	Malnutrition-related diabetes mellitus with ketoacidosis	Malnutrition-related diabetes mellitus with ketoacidosis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
190407009	Malnutrition-related diabetes mellitus with renal complications	Malnutrition-related diabetes mellitus with renal complications		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
190410002	Malnutrition-related diabetes mellitus with peripheral circulatory complications 	Malnutrition-related diabetes mellitus with peripheral circulatory complications 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
190411003	Malnutrition-related diabetes mellitus with multiple complications	Malnutrition-related diabetes mellitus with multiple complications		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
190412005	Malnutrition-related diabetes mellitus without complications	Malnutrition-related diabetes mellitus without complications		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
190416008	Steroid-induced diabetes mellitus without complication	Steroid-induced diabetes mellitus without complication		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
190447002	Steroid-induced diabetes	Steroid-induced diabetes		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
193184006	Chronic painful diabetic neuropathy	Chronic painful diabetic neuropathy		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
197605007	Nephrotic syndrome in diabetes mellitus	Nephrotic syndrome in diabetes mellitus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
199229001	Pre-existing diabetes mellitus/ insulin-dependent	Pre-existing diabetes mellitus/ insulin-dependent		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
199230006	Pre-existing diabetes mellitus/ non-insulin-dependent 	Pre-existing diabetes mellitus/ non-insulin-dependent 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
199231005	Pre-existing malnutrition-related diabetes mellitus	Pre-existing malnutrition-related diabetes mellitus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
201250006	Ischemic ulcer diabetic foot 	Ischemic ulcer diabetic foot 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
201251005	Neuropathic diabetic ulcer - foot	Neuropathic diabetic ulcer - foot		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
201252003	Mixed diabetic ulcer - foot	Mixed diabetic ulcer - foot		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
230572002	Diabetic neuropathy	Diabetic neuropathy		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
230577008	Diabetic mononeuropathy	Diabetic mononeuropathy		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
