Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Production Class (HL7)	PHVS_ProductionClass_HL7_2x	2.16.840.1.114222.4.11.812	1	User-defined table 0429 contains the code and description that indicates the primary use for which the living subject was bred or grown.	Published	10/22/2008	Initial Load VADS 3.0

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
BR	Breeding/genetic stock	Breeding/genetic stock		2.16.840.1.113883.12.429	Production class Code (HL7)	PH_ProductionClass_HL7_2x	HL7 v2.5	HL70429
DA	Dairy	Dairy		2.16.840.1.113883.12.429	Production class Code (HL7)	PH_ProductionClass_HL7_2x	HL7 v2.5	HL70429
DR	Draft	Draft		2.16.840.1.113883.12.429	Production class Code (HL7)	PH_ProductionClass_HL7_2x	HL7 v2.5	HL70429
DU	Dual Purpose	Dual Purpose		2.16.840.1.113883.12.429	Production class Code (HL7)	PH_ProductionClass_HL7_2x	HL7 v2.5	HL70429
LY	Layer, Includes Multiplier flocks	Layer, Includes Multiplier flocks		2.16.840.1.113883.12.429	Production class Code (HL7)	PH_ProductionClass_HL7_2x	HL7 v2.5	HL70429
MT	Meat	Meat		2.16.840.1.113883.12.429	Production class Code (HL7)	PH_ProductionClass_HL7_2x	HL7 v2.5	HL70429
NA	Not Applicable	Not Applicable		2.16.840.1.113883.12.429	Production class Code (HL7)	PH_ProductionClass_HL7_2x	HL7 v2.5	HL70429
OT	Other	Other		2.16.840.1.113883.12.429	Production class Code (HL7)	PH_ProductionClass_HL7_2x	HL7 v2.5	HL70429
PL	Pleasure	Pleasure		2.16.840.1.113883.12.429	Production class Code (HL7)	PH_ProductionClass_HL7_2x	HL7 v2.5	HL70429
RA	Racing	Racing		2.16.840.1.113883.12.429	Production class Code (HL7)	PH_ProductionClass_HL7_2x	HL7 v2.5	HL70429
SH	Show	Show		2.16.840.1.113883.12.429	Production class Code (HL7)	PH_ProductionClass_HL7_2x	HL7 v2.5	HL70429
U	Unknown	Unknown		2.16.840.1.113883.12.429	Production class Code (HL7)	PH_ProductionClass_HL7_2x	HL7 v2.5	HL70429
