Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Detailed Race	PHVS_Race_CDC	2.16.840.1.114222.4.11.876	2	Specific race codes reported on a limited basis	Published	10/22/2008	updated Israeli

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
1006-6	Abenaki	Abenaki		2.16.840.1.113883.6.238	Race & Ethnicity - CDC	PH_RaceAndEthnicity_CDC	1.2	CDCREC
1579-2	Absentee Shawnee	Absentee Shawnee		2.16.840.1.113883.6.238	Race & Ethnicity - CDC	PH_RaceAndEthnicity_CDC	1.2	CDCREC
1490-2	Acoma	Acoma		2.16.840.1.113883.6.238	Race & Ethnicity - CDC	PH_RaceAndEthnicity_CDC	1.2	CDCREC
2126-1	Afghanistani	Afghanistani		2.16.840.1.113883.6.238	Race & Ethnicity - CDC	PH_RaceAndEthnicity_CDC	1.2	CDCREC
2060-2	African	African		2.16.840.1.113883.6.238	Race & Ethnicity - CDC	PH_RaceAndEthnicity_CDC	1.2	CDCREC
2058-6	African American	African American		2.16.840.1.113883.6.238	Race & Ethnicity - CDC	PH_RaceAndEthnicity_CDC	1.2	CDCREC
1994-3	Agdaagux	Agdaagux		2.16.840.1.113883.6.238	Race & Ethnicity - CDC	PH_RaceAndEthnicity_CDC	1.2	CDCREC
1212-0	Agua Caliente	Agua Caliente		2.16.840.1.113883.6.238	Race & Ethnicity - CDC	PH_RaceAndEthnicity_CDC	1.2	CDCREC
1045-4	Agua Caliente Cahuilla	Agua Caliente Cahuilla		2.16.840.1.113883.6.238	Race & Ethnicity - CDC	PH_RaceAndEthnicity_CDC	1.2	CDCREC
1740-0	Ahtna	Ahtna		2.16.840.1.113883.6.238	Race & Ethnicity - CDC	PH_RaceAndEthnicity_CDC	1.2	CDCREC
1654-3	Ak-Chin	Ak-Chin		2.16.840.1.113883.6.238	Race & Ethnicity - CDC	PH_RaceAndEthnicity_CDC	1.2	CDCREC
1993-5	Akhiok	Akhiok		2.16.840.1.113883.6.238	Race & Ethnicity - CDC	PH_RaceAndEthnicity_CDC	1.2	CDCREC
1897-8	Akiachak	Akiachak		2.16.840.1.113883.6.238	Race & Ethnicity - CDC	PH_RaceAndEthnicity_CDC	1.2	CDCREC
1898-6	Akiak	Akiak		2.16.840.1.113883.6.238	Race & Ethnicity - CDC	PH_RaceAndEthnicity_CDC	1.2	CDCREC
2007-3	Akutan	Akutan		2.16.840.1.113883.6.238	Race & Ethnicity - CDC	PH_RaceAndEthnicity_CDC	1.2	CDCREC
1187-4	Alabama Coushatta	Alabama Coushatta		2.16.840.1.113883.6.238	Race & Ethnicity - CDC	PH_RaceAndEthnicity_CDC	1.2	CDCREC
1194-0	Alabama Creek	Alabama Creek		2.16.840.1.113883.6.238	Race & Ethnicity - CDC	PH_RaceAndEthnicity_CDC	1.2	CDCREC
1195-7	Alabama Quassarte	Alabama Quassarte		2.16.840.1.113883.6.238	Race & Ethnicity - CDC	PH_RaceAndEthnicity_CDC	1.2	CDCREC
1899-4	Alakanuk	Alakanuk		2.16.840.1.113883.6.238	Race & Ethnicity - CDC	PH_RaceAndEthnicity_CDC	1.2	CDCREC
1383-9	Alamo Navajo	Alamo Navajo		2.16.840.1.113883.6.238	Race & Ethnicity - CDC	PH_RaceAndEthnicity_CDC	1.2	CDCREC
1744-2	Alanvik	Alanvik		2.16.840.1.113883.6.238	Race & Ethnicity - CDC	PH_RaceAndEthnicity_CDC	1.2	CDCREC
1737-6	Alaska Indian	Alaska Indian		2.16.840.1.113883.6.238	Race & Ethnicity - CDC	PH_RaceAndEthnicity_CDC	1.2	CDCREC
1735-0	Alaska Native	Alaska Native		2.16.840.1.113883.6.238	Race & Ethnicity - CDC	PH_RaceAndEthnicity_CDC	1.2	CDCREC
1739-2	Alaskan Athabascan	Alaskan Athabascan		2.16.840.1.113883.6.238	Race & Ethnicity - CDC	PH_RaceAndEthnicity_CDC	1.2	CDCREC
1741-8	Alatna	Alatna		2.16.840.1.113883.6.238	Race & Ethnicity - CDC	PH_RaceAndEthnicity_CDC	1.2	CDCREC
1900-0	Aleknagik	Aleknagik		2.16.840.1.113883.6.238	Race & Ethnicity - CDC	PH_RaceAndEthnicity_CDC	1.2	CDCREC
1966-1	Aleut	Aleut		2.16.840.1.113883.6.238	Race & Ethnicity - CDC	PH_RaceAndEthnicity_CDC	1.2	CDCREC
2008-1	Aleut Corporation	Aleut Corporation		2.16.840.1.113883.6.238	Race & Ethnicity - CDC	PH_RaceAndEthnicity_CDC	1.2	CDCREC
2009-9	Aleutian	Aleutian		2.16.840.1.113883.6.238	Race & Ethnicity - CDC	PH_RaceAndEthnicity_CDC	1.2	CDCREC
2010-7	Aleutian Islander	Aleutian Islander		2.16.840.1.113883.6.238	Race & Ethnicity - CDC	PH_RaceAndEthnicity_CDC	1.2	CDCREC
