Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Radiation Rx and Boost Radiation SNOMEDCT (NAACCR)	PHVS_RadRxSNOMED_NAACCR	2.16.840.1.113883.3.520.4.26	1	Records the dominant modality of radiation therapy used to deliver the clinically most significant regional dose to the primary volume of interest during the first course of treatment.
	Published	07/29/2015	Initial Import for : 32E58D04-1D36-E511-99A5-0017A477041A

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
169391003	Afterload radiotherapy - female genital (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
169388003	Afterload radiotherapy - head (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
169393000	Afterload radiotherapy - rectum (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
169390002	Afterload radiotherapy - respiratory system (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
169389006	Afterload radiotherapy - upper gastrointestinal tract (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
169392005	Afterload radiotherapy - urinary (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
169394006	Afterload radiotherapy of oropharyngeal cavity (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
169387008	Afterloading cavity radiotherapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
169328001	Beta source contact therapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
169310003	Betatron electron therapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
169303009	Betatron photon therapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
33356009	Betatron teleradiotherapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
228662001	Betatron X-ray therapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
53721003	Bolus design and fabrication (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
169343004	Bone marrow suppression - irradiation (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
169345006	Bone tumor/metastasis irradiation (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
445232009	Boost radiation therapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
69497001	Brachytherapy isodose calculation, intermediate (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
447759004	Brachytherapy of breast (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
448137007	Brachytherapy using radioiodine (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
228729003	Calculation of brachytherapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
228730008	Calculation of radionuclide therapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
228727001	Calculation of radiotherapy dose corrections (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
228728006	Calculation of radiotherapy dose-volume histogram (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
228726005	Calculation of radiotherapy isodose distribution (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
228723002	Calculation of teletherapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
228724008	Calculation of teletherapy parameters (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
228688003	Californium 252 brachytherapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
228683007	Cathetron brachytherapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
228677009	Cesium 137 brachytherapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
228678004	Cesium 137 brachytherapy manual loading (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
228679007	Cesium 137 brachytherapy manual loading with Heyman's capsules (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
312243002	Cesium 137 brachytherapy remote afterloading (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
228682002	Cobalt 60 brachytherapy manual loading (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
312244008	Cobalt 60 brachytherapy remote afterloading (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
24242005	Cobalt-60 therapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
169312006	Combined fast-electron therapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
169319002	Combined heavy particle therapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
169347003	Combined internal radiotherapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
169305002	Combined photon therapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
394935005	Combined post-operative chemotherapy and radiotherapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
169331000	Combined radiotherapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
169324004	Combined teletherapy and intermediate distance curietherapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
183649005	Combined therapy follow-up (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
169299004	Combined X-ray therapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
59690005	Compensating filter design and fabrication (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
24689001	Computed tomography guidance for treatment planning, teletherapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
441783000	Conformal radiotherapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
35437002	Consultation in computer dosimetry and isodose chart for brachytherapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
12566000	Consultation in computer dosimetry and isodose chart, teletherapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
49569001	Consultation in teletherapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
228660009	Contact therapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
228680005	Curietron brachytherapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
228674002	Cyclotron neutron teletherapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
50632006	Cyclotron teleradiotherapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
5304008	Deep radiation therapy, 200-300 KVP (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
169295005	Deep X-ray therapy 150-400 kV (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
441515002	Delivery of a fraction of intraluminal brachytherapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
64522003	Destruction of chorioretinal lesion by implantation of radiation source (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
85257004	Destruction of chorioretinal lesion by radiation therapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
78110003	Destruction of lesion of choroid by implantation of radiation source (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
63506005	Destruction of lesion of choroid by radiation therapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
43111005	Destruction of lesion of retina by implantation of radiation source (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
228675001	Deuterium on tritium neutron teletherapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
169315008	Deuteron therapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
10226009	Disposal of radioactive source (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
313092005	Electromagnetic energy therapy (regime/therapy)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
169335009	External beam - surgery with chemotherapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
169334008	External beam - surgery with postoperative radiotherapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
169333002	External beam - surgery with preoperative radiotherapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
426332009	External beam radiotherapy to lesion of retina (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
169336005	External beam with chemotherapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
169332007	External beam with internal radiotherapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
448294009	External radiation therapy using superficial radiation (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
169318005	Fast neutron therapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
169307005	Fast-electron therapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
90564003	Field block design and fabrication (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
447912004	Fractionated dose stereotactic radiosurgery using linear accelerator system (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
169321007	Gamma ray and intermediate distance curietherapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
65952009	Gamma ray therapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
228685000	Gammamed brachytherapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
169322000	Gamma-ray telecurie therapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
65263004	General radiation therapy consultation and report (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
228689006	Gold 198 brachytherapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
228702008	Gold 198 therapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
169292008	Grenz ray therapy up to 10 kV (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
169294009	Half-deep therapy 60-150 kV (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
312248006	Heavy ion teletherapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
39646005	Hemibody irradiation (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
394902000	High dose brachytherapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
438629002	High dose rate electronic brachytherapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
169301006	High-energy beam therapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
228676000	Hiletron neutron teletherapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
80893007	Hyperthermia generated by intracavitary probes (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
425767004	Implantation of radioactive seed into prostate (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
169422001	Inflammatory infrared therapy (regime/therapy)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
169421008	Infrared radiation therapy (regime/therapy)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
441799006	Intensity modulated radiation therapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
169323005	Intermediate distance curietherapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
169340001	Internal metabolic radiotherapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
169359004	Internal radiotherapy - permanent seeds (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
169349000	Internal radiotherapy - unsealed source (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
113120007	Interstitial brachytherapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
448467008	Interstitial brachytherapy using cesium needle (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
448552007	Interstitial brachytherapy using gold grain (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
449157000	Interstitial brachytherapy using iridium wire (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
399180008	Interstitial radioactive colloid therapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
1127003	Interstitial radium application (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
65381004	Intra-articular radionuclide therapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
384692006	Intracavitary brachytherapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
448608009	Intracavitary brachytherapy of female genital tract (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
448168006	Intracavitary brachytherapy of nasopharynx (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
64819008	Intracavitary radionuclide therapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
47668009	Intracavitary radium application (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
169298007	Intracavitary X-ray therapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
384691004	Intraluminal brachytherapy (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
448987004	Intraluminal brachytherapy of biliary tract (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
449155008	Intraluminal brachytherapy of esophagus (procedure)			2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
