Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Rash Syndrome (BT)	PHVS_Rash_Syndrome_BT	2.16.840.1.114222.4.11.1096	1	ACUTE condition that may present as consistent with smallpox (macules, papules, vesicles predominantly of face/arms/legs). SPECIFIC diagnosis of acute rash such as chicken pox in person > XX years of age (base age cut-off on data interpretation) or smallpox. ACUTE non-specific diagnosis of rash compatible with infectious disease, such as viral exanthem. EXCLUDES allergic or inflammatory skin conditions such as contact or seborrheaic dermatitis, rosacea. EXCLUDES rash NOS, rash due to poison ivy, sunburn, and eczema	Published	10/22/2008	Initial Load VADS 3.0

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
0501	ALASTRIM	ALASTRIM [050.1]	050.1	2.16.840.1.113883.6.103	ICD-9-CM, Volume 1&2	PH_DiseaseClassification_ICD-9CM	32	I9CDX
6929	DERMATITIS NOS	DERMATITIS NOS [692.9]	692.9	2.16.840.1.113883.6.103	ICD-9-CM, Volume 1&2	PH_DiseaseClassification_ICD-9CM	32	I9CDX
6952	ERYTHEMA NODOSUM	ERYTHEMA NODOSUM [695.2]	695.2	2.16.840.1.113883.6.103	ICD-9-CM, Volume 1&2	PH_DiseaseClassification_ICD-9CM	32	I9CDX
69589	ERYTHEMATOUS COND NEC	ERYTHEMATOUS COND NEC [695.89]	695.89	2.16.840.1.113883.6.103	ICD-9-CM, Volume 1&2	PH_DiseaseClassification_ICD-9CM	32	I9CDX
6959	ERYTHEMATOUS COND NOS	ERYTHEMATOUS COND NOS [695.9]	695.9	2.16.840.1.113883.6.103	ICD-9-CM, Volume 1&2	PH_DiseaseClassification_ICD-9CM	32	I9CDX
0502	MODIFIED SMALLPOX	MODIFIED SMALLPOX [050.2]	050.2	2.16.840.1.113883.6.103	ICD-9-CM, Volume 1&2	PH_DiseaseClassification_ICD-9CM	32	I9CDX
7821	NONSPECIF SKIN ERUPT NEC	NONSPECIF SKIN ERUPT NEC [782.1]	782.1	2.16.840.1.113883.6.103	ICD-9-CM, Volume 1&2	PH_DiseaseClassification_ICD-9CM	32	I9CDX
0511	PSEUDOCOWPOX	PSEUDOCOWPOX [051.1]	051.1	2.16.840.1.113883.6.103	ICD-9-CM, Volume 1&2	PH_DiseaseClassification_ICD-9CM	32	I9CDX
0509	SMALLPOX NOS	SMALLPOX NOS [050.9]	050.9	2.16.840.1.113883.6.103	ICD-9-CM, Volume 1&2	PH_DiseaseClassification_ICD-9CM	32	I9CDX
6950	TOXIC ERYTHEMA	TOXIC ERYTHEMA [695.0]	695.0	2.16.840.1.113883.6.103	ICD-9-CM, Volume 1&2	PH_DiseaseClassification_ICD-9CM	32	I9CDX
0527	VARICELLA COMPLICAT NEC	VARICELLA COMPLICAT NEC [052.7]	052.7	2.16.840.1.113883.6.103	ICD-9-CM, Volume 1&2	PH_DiseaseClassification_ICD-9CM	32	I9CDX
0528	VARICELLA COMPLICAT NOS	VARICELLA COMPLICAT NOS [052.8]	052.8	2.16.840.1.113883.6.103	ICD-9-CM, Volume 1&2	PH_DiseaseClassification_ICD-9CM	32	I9CDX
0529	VARICELLA UNCOMPLICATED	VARICELLA UNCOMPLICATED [052.9]	052.9	2.16.840.1.113883.6.103	ICD-9-CM, Volume 1&2	PH_DiseaseClassification_ICD-9CM	32	I9CDX
0500	VARIOLA MAJOR	VARIOLA MAJOR [050.0]	050.0	2.16.840.1.113883.6.103	ICD-9-CM, Volume 1&2	PH_DiseaseClassification_ICD-9CM	32	I9CDX
0578	VIRAL EXANTHEMATA NEC	VIRAL EXANTHEMATA NEC [057.8]	057.8	2.16.840.1.113883.6.103	ICD-9-CM, Volume 1&2	PH_DiseaseClassification_ICD-9CM	32	I9CDX
0579	VIRAL EXANTHEMATA NOS	VIRAL EXANTHEMATA NOS [057.9]	057.9	2.16.840.1.113883.6.103	ICD-9-CM, Volume 1&2	PH_DiseaseClassification_ICD-9CM	32	I9CDX
