Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
JCIH-EHDI Reason for no Hearing Loss Diagnosis	PHVS_ReasonForNoHearingLossDiagnosis_JCIH_EHDI	1.3.6.1.4.1.19376.1.7.3.1.1.15.2.15	1	To Reflect Reason for no hearing loss diagnosis coded with SNOMED-CT	Published	11/15/2010	EHDI - Version 1.0

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
185333000	Appointment cancelled by doctor (finding)	Appointment cancelled by doctor (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
185332005	Appointment cancelled by patient (finding)	Appointment cancelled by patient (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
360885002	Change of residence status (finding)	Change of residence status (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
281399006	Did not attend (finding)	Did not attend (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
183638004	Follow-up refused (finding)	Follow-up refused (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
419984006	Inconclusive (qualifier value)	Inconclusive (qualifier value)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
399307001	Lost to follow-up (finding)	Lost to follow-up (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
184112005	Patient address unknown (finding)	Patient address unknown (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
397709008	Patient died (finding)	Patient died (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
184118009	Patient telephone number unknown (finding)	Patient telephone number unknown (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
413319007	Persistent non-attender (finding)	Persistent non-attender (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
183946001	Procedure refused - uncooperative (situation)	Procedure refused - uncooperative (situation)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
