Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Relationship (Hansen)	PHVS_Relationship_Hansen	2.16.840.1.114222.4.11.7957	1	Case relationship to known or suspected contact
	Published	08/11/2020	v1


Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
AUNT	Aunt	Aunt		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20140716	ROLECODE
BRO	Brother	Brother		2.16.840.1.113883.12.63	Relationship (HL7)	PH_Relationship_HL7_2x	20170801	HL70063
COUSN	Cousin	Cousin		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20140716	ROLECODE
DAUC	Daughter	Daughter		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20140716	ROLECODE
FTH	Father	Father		2.16.840.1.113883.12.63	Relationship (HL7)	PH_Relationship_HL7_2x	20170801	HL70063
GRNDDAU	Granddaughter	Granddaughter		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20140716	ROLECODE
GRFTH	Grandfather	Grandfather		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20140716	ROLECODE
GRMTH	Grandmother	Grandmother		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20140716	ROLECODE
GRNDSON	Grandson	Grandson		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20140716	ROLECODE
MTH	Mother	Mother		2.16.840.1.113883.12.63	Relationship (HL7)	PH_Relationship_HL7_2x	20170801	HL70063
NEPHEW	Nephew	Nephew		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20140716	ROLECODE
NIECE	Niece	Niece		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20140716	ROLECODE
OTH	other	Other		2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
SIS	Sister	Sister		2.16.840.1.113883.12.63	Relationship (HL7)	PH_Relationship_HL7_2x	20170801	HL70063
SONC	Son	Son		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20140716	ROLECODE
SPO	Spouse	Spouse		2.16.840.1.113883.12.63	Relationship (HL7)	PH_Relationship_HL7_2x	20170801	HL70063
UNCLE	Uncle	Uncle		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20140716	ROLECODE
UNK	unknown	Unknown	ZZ	2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
