Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Relationship (IIS)	PHVS_Relationship_IIS	2.16.840.1.114222.4.11.3365	2	User-defined Table 0063 - Relationship [as defined in HL7’s Version 2.4] (use in NK1-3, IN1-17)	Published	09/03/2010	v2 Added CHD	Child


Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
BRO	Brother	Brother		2.16.840.1.113883.12.63	Relationship (HL7)	PH_Relationship_HL7_2x	20170801	HL70063
CGV	Care giver	Care giver		2.16.840.1.113883.12.63	Relationship (HL7)	PH_Relationship_HL7_2x	20170801	HL70063
CHD	Child	Child		2.16.840.1.113883.12.63	Relationship (HL7)	PH_Relationship_HL7_2x	20170801	HL70063
FTH	Father	Father		2.16.840.1.113883.12.63	Relationship (HL7)	PH_Relationship_HL7_2x	20170801	HL70063
FCH	Foster child	Foster child		2.16.840.1.113883.12.63	Relationship (HL7)	PH_Relationship_HL7_2x	20170801	HL70063
GRP	Grandparent	Grandparent		2.16.840.1.113883.12.63	Relationship (HL7)	PH_Relationship_HL7_2x	20170801	HL70063
GRD	Guardian	Guardian		2.16.840.1.113883.12.63	Relationship (HL7)	PH_Relationship_HL7_2x	20170801	HL70063
MTH	Mother	Mother		2.16.840.1.113883.12.63	Relationship (HL7)	PH_Relationship_HL7_2x	20170801	HL70063
OTH	Other	Other		2.16.840.1.113883.12.63	Relationship (HL7)	PH_Relationship_HL7_2x	20170801	HL70063
PAR	Parent	Parent		2.16.840.1.113883.12.63	Relationship (HL7)	PH_Relationship_HL7_2x	20170801	HL70063
SEL	Self	Self		2.16.840.1.113883.12.63	Relationship (HL7)	PH_Relationship_HL7_2x	20170801	HL70063
SIB	Sibling	Sibling		2.16.840.1.113883.12.63	Relationship (HL7)	PH_Relationship_HL7_2x	20170801	HL70063
SIS	Sister	Sister		2.16.840.1.113883.12.63	Relationship (HL7)	PH_Relationship_HL7_2x	20170801	HL70063
SPO	Spouse	Spouse		2.16.840.1.113883.12.63	Relationship (HL7)	PH_Relationship_HL7_2x	20170801	HL70063
SCH	Stepchild	Stepchild		2.16.840.1.113883.12.63	Relationship (HL7)	PH_Relationship_HL7_2x	20170801	HL70063
