Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Relationship (VPD)	PHVS_Relationship_VPD	2.16.840.1.114222.4.11.3138	1	Case contact relationships answer list	Published	10/22/2008	Initial Load VADS 3.0

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
BRO	Brother	Brother		2.16.840.1.113883.12.63	Relationship (HL7)	PH_Relationship_HL7_2x	20170801	HL70063
FTH	Father	Father		2.16.840.1.113883.12.63	Relationship (HL7)	PH_Relationship_HL7_2x	20170801	HL70063
FND	Friend	Friend		2.16.840.1.113883.12.63	Relationship (HL7)	PH_Relationship_HL7_2x	20170801	HL70063
GRP	Grandparent	Grandparent		2.16.840.1.113883.12.63	Relationship (HL7)	PH_Relationship_HL7_2x	20170801	HL70063
MTH	Mother	Mother		2.16.840.1.113883.12.63	Relationship (HL7)	PH_Relationship_HL7_2x	20170801	HL70063
C1553702	Neighbor	Neighbor		2.16.840.1.113883.6.86	UMLS	PH_UMLS	20200301	UML
OTH	other	Other		2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
SIS	Sister	Sister		2.16.840.1.113883.12.63	Relationship (HL7)	PH_Relationship_HL7_2x	20170801	HL70063
SPO	Spouse	Spouse		2.16.840.1.113883.12.63	Relationship (HL7)	PH_Relationship_HL7_2x	20170801	HL70063
UNK	unknown	Unknown	ZZ	2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
