Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Religion (HL7)	PHVS_Religion_HL7_2x	2.16.840.1.114222.4.11.814	1	User-defined table 0006 contains a list of religions.	Published	10/22/2008	Initial Load VADS 3.0

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
AGN	Agnostic	Agnostic		2.16.840.1.113883.12.6	Religion (HL7)	PH_Religion_HL7_2x	HL7 v2.5	HL70006
ATH	Atheist	Atheist		2.16.840.1.113883.12.6	Religion (HL7)	PH_Religion_HL7_2x	HL7 v2.5	HL70006
BAH	Baha'i	Baha'i		2.16.840.1.113883.12.6	Religion (HL7)	PH_Religion_HL7_2x	HL7 v2.5	HL70006
BUD	Buddhist	Buddhist		2.16.840.1.113883.12.6	Religion (HL7)	PH_Religion_HL7_2x	HL7 v2.5	HL70006
BMA	Buddhist: Mahayana	Buddhist: Mahayana		2.16.840.1.113883.12.6	Religion (HL7)	PH_Religion_HL7_2x	HL7 v2.5	HL70006
BOT	Buddhist: Other	Buddhist: Other		2.16.840.1.113883.12.6	Religion (HL7)	PH_Religion_HL7_2x	HL7 v2.5	HL70006
BTA	Buddhist: Tantrayana	Buddhist: Tantrayana		2.16.840.1.113883.12.6	Religion (HL7)	PH_Religion_HL7_2x	HL7 v2.5	HL70006
BTH	Buddhist: Theravada	Buddhist: Theravada		2.16.840.1.113883.12.6	Religion (HL7)	PH_Religion_HL7_2x	HL7 v2.5	HL70006
CFR	Chinese Folk Religionist	Chinese Folk Religionist		2.16.840.1.113883.12.6	Religion (HL7)	PH_Religion_HL7_2x	HL7 v2.5	HL70006
CHR	Christian	Christian		2.16.840.1.113883.12.6	Religion (HL7)	PH_Religion_HL7_2x	HL7 v2.5	HL70006
AMT	Christian: African Methodist Episcopal	Christian: African Methodist Episcopal		2.16.840.1.113883.12.6	Religion (HL7)	PH_Religion_HL7_2x	HL7 v2.5	HL70006
