Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Religious Affiliation Value Set	PHVS_ReligiousAffiliation_HL7_V3	2.16.840.1.113883.1.11.19185	1	This reflects the spiritual faith affiliation	Published	07/23/2009	HITSP Public Health Vocabulary

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
1001	Adventist	Adventist		2.16.840.1.113883.5.1076	ReligiousAffiliation	PH_ReligiousAffiliation_HL7_V3	20090501	HITSP-CS-1076
1002	African Religions	African Religions		2.16.840.1.113883.5.1076	ReligiousAffiliation	PH_ReligiousAffiliation_HL7_V3	20090501	HITSP-CS-1076
1003	Afro-Caribbean Religions	Afro-Caribbean Religions		2.16.840.1.113883.5.1076	ReligiousAffiliation	PH_ReligiousAffiliation_HL7_V3	20090501	HITSP-CS-1076
1004	Agnosticism	Agnosticism		2.16.840.1.113883.5.1076	ReligiousAffiliation	PH_ReligiousAffiliation_HL7_V3	20090501	HITSP-CS-1076
1005	Anglican	Anglican		2.16.840.1.113883.5.1076	ReligiousAffiliation	PH_ReligiousAffiliation_HL7_V3	20090501	HITSP-CS-1076
1006	Animism	Animism		2.16.840.1.113883.5.1076	ReligiousAffiliation	PH_ReligiousAffiliation_HL7_V3	20090501	HITSP-CS-1076
1061	Assembly of God	Assembly of God		2.16.840.1.113883.5.1076	ReligiousAffiliation	PH_ReligiousAffiliation_HL7_V3	20090501	HITSP-CS-1076
1007	Atheism	Atheism		2.16.840.1.113883.5.1076	ReligiousAffiliation	PH_ReligiousAffiliation_HL7_V3	20090501	HITSP-CS-1076
1008	Babi & Baha'I faiths	Babi & Baha'I faiths		2.16.840.1.113883.5.1076	ReligiousAffiliation	PH_ReligiousAffiliation_HL7_V3	20090501	HITSP-CS-1076
1009	Baptist	Baptist		2.16.840.1.113883.5.1076	ReligiousAffiliation	PH_ReligiousAffiliation_HL7_V3	20090501	HITSP-CS-1076
1010	Bon	Bon		2.16.840.1.113883.5.1076	ReligiousAffiliation	PH_ReligiousAffiliation_HL7_V3	20090501	HITSP-CS-1076
1062	Brethren	Brethren		2.16.840.1.113883.5.1076	ReligiousAffiliation	PH_ReligiousAffiliation_HL7_V3	20090501	HITSP-CS-1076
1011	Cao Dai	Cao Dai		2.16.840.1.113883.5.1076	ReligiousAffiliation	PH_ReligiousAffiliation_HL7_V3	20090501	HITSP-CS-1076
1012	Celticism	Celticism		2.16.840.1.113883.5.1076	ReligiousAffiliation	PH_ReligiousAffiliation_HL7_V3	20090501	HITSP-CS-1076
1013	Christian (non-Catholic, non-specific)	Christian (non-Catholic, non-specific)		2.16.840.1.113883.5.1076	ReligiousAffiliation	PH_ReligiousAffiliation_HL7_V3	20090501	HITSP-CS-1076
1063	Christian Scientist	Christian Scientist		2.16.840.1.113883.5.1076	ReligiousAffiliation	PH_ReligiousAffiliation_HL7_V3	20090501	HITSP-CS-1076
1064	Church of Christ	Church of Christ		2.16.840.1.113883.5.1076	ReligiousAffiliation	PH_ReligiousAffiliation_HL7_V3	20090501	HITSP-CS-1076
1065	Church of God	Church of God		2.16.840.1.113883.5.1076	ReligiousAffiliation	PH_ReligiousAffiliation_HL7_V3	20090501	HITSP-CS-1076
1014	Confucianism	Confucianism		2.16.840.1.113883.5.1076	ReligiousAffiliation	PH_ReligiousAffiliation_HL7_V3	20090501	HITSP-CS-1076
1066	Congregational	Congregational		2.16.840.1.113883.5.1076	ReligiousAffiliation	PH_ReligiousAffiliation_HL7_V3	20090501	HITSP-CS-1076
1015	Cyberculture Religions	Cyberculture Religions		2.16.840.1.113883.5.1076	ReligiousAffiliation	PH_ReligiousAffiliation_HL7_V3	20090501	HITSP-CS-1076
1067	Disciples of Christ	Disciples of Christ		2.16.840.1.113883.5.1076	ReligiousAffiliation	PH_ReligiousAffiliation_HL7_V3	20090501	HITSP-CS-1076
1016	Divination	Divination		2.16.840.1.113883.5.1076	ReligiousAffiliation	PH_ReligiousAffiliation_HL7_V3	20090501	HITSP-CS-1076
1068	Eastern Orthodox	Eastern Orthodox		2.16.840.1.113883.5.1076	ReligiousAffiliation	PH_ReligiousAffiliation_HL7_V3	20090501	HITSP-CS-1076
1069	Episcopalian	Episcopalian		2.16.840.1.113883.5.1076	ReligiousAffiliation	PH_ReligiousAffiliation_HL7_V3	20090501	HITSP-CS-1076
1070	Evangelical Covenant	Evangelical Covenant		2.16.840.1.113883.5.1076	ReligiousAffiliation	PH_ReligiousAffiliation_HL7_V3	20090501	HITSP-CS-1076
1017	Fourth Way	Fourth Way		2.16.840.1.113883.5.1076	ReligiousAffiliation	PH_ReligiousAffiliation_HL7_V3	20090501	HITSP-CS-1076
1018	Free Daism	Free Daism		2.16.840.1.113883.5.1076	ReligiousAffiliation	PH_ReligiousAffiliation_HL7_V3	20090501	HITSP-CS-1076
1071	Friends	Friends		2.16.840.1.113883.5.1076	ReligiousAffiliation	PH_ReligiousAffiliation_HL7_V3	20090501	HITSP-CS-1076
1072	Full Gospel	Full Gospel		2.16.840.1.113883.5.1076	ReligiousAffiliation	PH_ReligiousAffiliation_HL7_V3	20090501	HITSP-CS-1076
1019	Gnosis	Gnosis		2.16.840.1.113883.5.1076	ReligiousAffiliation	PH_ReligiousAffiliation_HL7_V3	20090501	HITSP-CS-1076
1020	Hinduism	Hinduism		2.16.840.1.113883.5.1076	ReligiousAffiliation	PH_ReligiousAffiliation_HL7_V3	20090501	HITSP-CS-1076
1021	Humanism	Humanism		2.16.840.1.113883.5.1076	ReligiousAffiliation	PH_ReligiousAffiliation_HL7_V3	20090501	HITSP-CS-1076
1022	Independent	Independent		2.16.840.1.113883.5.1076	ReligiousAffiliation	PH_ReligiousAffiliation_HL7_V3	20090501	HITSP-CS-1076
1023	Islam	Islam		2.16.840.1.113883.5.1076	ReligiousAffiliation	PH_ReligiousAffiliation_HL7_V3	20090501	HITSP-CS-1076
1024	Jainism	Jainism		2.16.840.1.113883.5.1076	ReligiousAffiliation	PH_ReligiousAffiliation_HL7_V3	20090501	HITSP-CS-1076
1025	Jehovah's Witnesses	Jehovah's Witnesses		2.16.840.1.113883.5.1076	ReligiousAffiliation	PH_ReligiousAffiliation_HL7_V3	20090501	HITSP-CS-1076
1026	Judaism	Judaism		2.16.840.1.113883.5.1076	ReligiousAffiliation	PH_ReligiousAffiliation_HL7_V3	20090501	HITSP-CS-1076
1027	Latter Day Saints	Latter Day Saints		2.16.840.1.113883.5.1076	ReligiousAffiliation	PH_ReligiousAffiliation_HL7_V3	20090501	HITSP-CS-1076
1028	Lutheran	Lutheran		2.16.840.1.113883.5.1076	ReligiousAffiliation	PH_ReligiousAffiliation_HL7_V3	20090501	HITSP-CS-1076
1029	Mahayana	Mahayana		2.16.840.1.113883.5.1076	ReligiousAffiliation	PH_ReligiousAffiliation_HL7_V3	20090501	HITSP-CS-1076
1030	Meditation	Meditation		2.16.840.1.113883.5.1076	ReligiousAffiliation	PH_ReligiousAffiliation_HL7_V3	20090501	HITSP-CS-1076
1031	Messianic Judaism	Messianic Judaism		2.16.840.1.113883.5.1076	ReligiousAffiliation	PH_ReligiousAffiliation_HL7_V3	20090501	HITSP-CS-1076
1073	Methodist	Methodist		2.16.840.1.113883.5.1076	ReligiousAffiliation	PH_ReligiousAffiliation_HL7_V3	20090501	HITSP-CS-1076
1032	Mitraism	Mitraism		2.16.840.1.113883.5.1076	ReligiousAffiliation	PH_ReligiousAffiliation_HL7_V3	20090501	HITSP-CS-1076
1074	Native American	Native American		2.16.840.1.113883.5.1076	ReligiousAffiliation	PH_ReligiousAffiliation_HL7_V3	20090501	HITSP-CS-1076
1075	Nazarene	Nazarene		2.16.840.1.113883.5.1076	ReligiousAffiliation	PH_ReligiousAffiliation_HL7_V3	20090501	HITSP-CS-1076
1033	New Age	New Age		2.16.840.1.113883.5.1076	ReligiousAffiliation	PH_ReligiousAffiliation_HL7_V3	20090501	HITSP-CS-1076
1034	non-Roman Catholic	non-Roman Catholic		2.16.840.1.113883.5.1076	ReligiousAffiliation	PH_ReligiousAffiliation_HL7_V3	20090501	HITSP-CS-1076
1035	Occult	Occult		2.16.840.1.113883.5.1076	ReligiousAffiliation	PH_ReligiousAffiliation_HL7_V3	20090501	HITSP-CS-1076
1036	Orthodox	Orthodox		2.16.840.1.113883.5.1076	ReligiousAffiliation	PH_ReligiousAffiliation_HL7_V3	20090501	HITSP-CS-1076
1037	Paganism	Paganism		2.16.840.1.113883.5.1076	ReligiousAffiliation	PH_ReligiousAffiliation_HL7_V3	20090501	HITSP-CS-1076
1038	Pentecostal	Pentecostal		2.16.840.1.113883.5.1076	ReligiousAffiliation	PH_ReligiousAffiliation_HL7_V3	20090501	HITSP-CS-1076
1076	Presbyterian	Presbyterian		2.16.840.1.113883.5.1076	ReligiousAffiliation	PH_ReligiousAffiliation_HL7_V3	20090501	HITSP-CS-1076
1039	Process, The	Process, The		2.16.840.1.113883.5.1076	ReligiousAffiliation	PH_ReligiousAffiliation_HL7_V3	20090501	HITSP-CS-1076
1077	Protestant	Protestant		2.16.840.1.113883.5.1076	ReligiousAffiliation	PH_ReligiousAffiliation_HL7_V3	20090501	HITSP-CS-1076
1078	Protestant, No Denomination	Protestant, No Denomination		2.16.840.1.113883.5.1076	ReligiousAffiliation	PH_ReligiousAffiliation_HL7_V3	20090501	HITSP-CS-1076
1079	Reformed	Reformed		2.16.840.1.113883.5.1076	ReligiousAffiliation	PH_ReligiousAffiliation_HL7_V3	20090501	HITSP-CS-1076
