Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Residence Type (COVID-19)	PHVS_ResidenceType_COVID-19	2.16.840.1.114222.4.11.7939	1	Type of residence the patient was staying at the time of illness onset.	Published	05/27/2020	v1

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
434771000124107	Acute care hospital (environment)	Acute care inpatient facility		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
224633008	Apartment block (environment)	Apartment		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
C0872103	Assisted Living Facilities	Assisted living facility		2.16.840.1.113883.6.86	UMLS	PH_UMLS	20200301	UML
C0681146	Homeless Shelter	Homeless shelter		2.16.840.1.113883.6.86	UMLS	PH_UMLS	20200301	UML
257629009	Hotel (environment)	Hotel		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
257630004	House (environment)	House/single family home		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
224219001	Lives in independent group home (finding)	Group home		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
42665001	Long term care facility (environment)	Long term care facility		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
257641002	Mobile home (environment)	Mobile home		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
224674008	Motel (environment)	Motel		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
C0028688	Nursing home (environment)	Nursing home		2.16.840.1.113883.6.86	UMLS	PH_UMLS	20200301	UML
OTH	other	Other (specify)		2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
PHC2270	Outside (environment)	Outside, in a car, or other location not meant for human habitation		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
257656006	Penal institution (environment)	Correctional Facility		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
702916001	Rehabilitation clinic (environment)	Rehabilitation facility		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
UNK	unknown	Unknown	ZZ	2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
