Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Resulted Lab Test Name PHLIP Salmonella	PHVS_ResultedLabTestName_PHLIP_Sal	2.16.840.1.114222.4.11.5017	1	values for OBX.3 drawn from LOINC and PLT codign systems	Published	08/30/2011	for ETOR Salmonella phase 1

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
PLT151	Acetate utilization ISLT Ql cult	Acetate utilization ISLT Ql cult		2.16.840.1.114222.4.5.288	Lab Test (PHLIP)	PH_LabTest_PHLIP	1.33	PLT
PLT133	Adonitol fermentation ISLT Ql cult	Adonitol fermentation ISLT Ql cult		2.16.840.1.114222.4.5.288	Lab Test (PHLIP)	PH_LabTest_PHLIP	1.33	PLT
PLT143	a-Methyl-D-Glucoside fermentation ISLT Ql cult	a-Methyl-D-Glucoside fermentation ISLT Ql cult		2.16.840.1.114222.4.5.288	Lab Test (PHLIP)	PH_LabTest_PHLIP	1.33	PLT
PLT136	Arabinose (L-) fermentation ISLT Ql cult	Arabinose (L-) fermentation ISLT Ql cult		2.16.840.1.114222.4.5.288	Lab Test (PHLIP)	PH_LabTest_PHLIP	1.33	PLT
PLT147	Arabitol (D-) fermentation ISLT Ql cult	Arabitol (D-) fermentation ISLT Ql cult		2.16.840.1.114222.4.5.288	Lab Test (PHLIP)	PH_LabTest_PHLIP	1.33	PLT
PLT121	Arginine dihydrolase ISLT Ql cult	Arginine dihydrolase ISLT Ql cult		2.16.840.1.114222.4.5.288	Lab Test (PHLIP)	PH_LabTest_PHLIP	1.33	PLT
45034-6	Bacteria catalase Islt Ql	Bacteria producing catalase [Presence] in Isolate		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
45036-1	Bacteria Oxidase Islt Ql	Bacteria producing oxidase [Presence] in Isolate		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
45037-9	Bacteria Urease Islt Ql	Bacteria producing urease [Presence] in Isolate		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
PLT142	Cellobiose fermentation ISLT Ql cult	Cellobiose fermentation ISLT Ql cult		2.16.840.1.114222.4.5.288	Lab Test (PHLIP)	PH_LabTest_PHLIP	1.33	PLT
PLT157	Citrate (Christensens) ISLT Ql cult	Citrate (Christensens) ISLT Ql cult		2.16.840.1.114222.4.5.288	Lab Test (PHLIP)	PH_LabTest_PHLIP	1.33	PLT
PLT116	Citrate (Simmons) ISLT Ql cult	Citrate (Simmons) ISLT Ql cult		2.16.840.1.114222.4.5.288	Lab Test (PHLIP)	PH_LabTest_PHLIP	1.33	PLT
PLT153	DNAse (25C) ISLT Ql cult	DNAse (25C) ISLT Ql cult		2.16.840.1.114222.4.5.288	Lab Test (PHLIP)	PH_LabTest_PHLIP	1.33	PLT
PLT131	Dulcitol fermentation ISLT Ql cult	Dulcitol fermentation ISLT Ql cult		2.16.840.1.114222.4.5.288	Lab Test (PHLIP)	PH_LabTest_PHLIP	1.33	PLT
PLT144	Erythritol fermentation ISLT Ql cult	Erythritol fermentation ISLT Ql cult		2.16.840.1.114222.4.5.288	Lab Test (PHLIP)	PH_LabTest_PHLIP	1.33	PLT
PLT145	Esculin hydrolysis ISLT Ql cult	Esculin hydrolysis ISLT Ql cult		2.16.840.1.114222.4.5.288	Lab Test (PHLIP)	PH_LabTest_PHLIP	1.33	PLT
PLT161	Galactose (D-) fermentation ISLT Ql cult	Galactose (D-) fermentation ISLT Ql cult		2.16.840.1.114222.4.5.288	Lab Test (PHLIP)	PH_LabTest_PHLIP	1.33	PLT
PLT162	Galacturonate (D-) fermentation ISLT Ql cult	Galacturonate (D-) fermentation ISLT Ql cult		2.16.840.1.114222.4.5.288	Lab Test (PHLIP)	PH_LabTest_PHLIP	1.33	PLT
PLT163	Gelatin Strip (37C) ISLT Ql cult	Gelatin Strip (37C) ISLT Ql cult		2.16.840.1.114222.4.5.288	Lab Test (PHLIP)	PH_LabTest_PHLIP	1.33	PLT
PLT126	Glucose (D-) Acid ISLT Ql cult	Glucose (D-) Acid ISLT Ql cult		2.16.840.1.114222.4.5.288	Lab Test (PHLIP)	PH_LabTest_PHLIP	1.33	PLT
PLT127	Glucose (D-) Gas ISLT Ql cult	Glucose (D-) Gas ISLT Ql cult		2.16.840.1.114222.4.5.288	Lab Test (PHLIP)	PH_LabTest_PHLIP	1.33	PLT
PLT148	Glycerol fermentation ISLT Ql cult	Glycerol fermentation ISLT Ql cult		2.16.840.1.114222.4.5.288	Lab Test (PHLIP)	PH_LabTest_PHLIP	1.33	PLT
PLT124	Growth in KCN ISLT Ql cult	Growth in KCN ISLT Ql cult		2.16.840.1.114222.4.5.288	Lab Test (PHLIP)	PH_LabTest_PHLIP	1.33	PLT
PLT158	H2S (Peptone Iron Agar) ISLT Ql cult	H2S (Peptone Iron Agar) ISLT Ql cult		2.16.840.1.114222.4.5.288	Lab Test (PHLIP)	PH_LabTest_PHLIP	1.33	PLT
PLT117	H2S (TSI) ISLT QL	H2S (TSI) ISLT QL		2.16.840.1.114222.4.5.288	Lab Test (PHLIP)	PH_LabTest_PHLIP	1.33	PLT
PLT134	Inositol (myo-) fermentation ISLT Ql cult	Inositol (myo-) fermentation ISLT Ql cult		2.16.840.1.114222.4.5.288	Lab Test (PHLIP)	PH_LabTest_PHLIP	1.33	PLT
PLT128	Lactose fermentation ISLT Ql cult	Lactose fermentation ISLT Ql cult		2.16.840.1.114222.4.5.288	Lab Test (PHLIP)	PH_LabTest_PHLIP	1.33	PLT
PLT152	Lipase (Corn oil) ISLT Ql cult	Lipase (Corn oil) ISLT Ql cult		2.16.840.1.114222.4.5.288	Lab Test (PHLIP)	PH_LabTest_PHLIP	1.33	PLT
PLT120	Lysine decarboxylase ISLT Ql cult	Lysine decarboxylase ISLT Ql cult		2.16.840.1.114222.4.5.288	Lab Test (PHLIP)	PH_LabTest_PHLIP	1.33	PLT
PLT125	Malonate utilization ISLT Ql cult	Malonate utilization ISLT Ql cult		2.16.840.1.114222.4.5.288	Lab Test (PHLIP)	PH_LabTest_PHLIP	1.33	PLT
PLT139	Maltose fermentation ISLT Ql cult	Maltose fermentation ISLT Ql cult		2.16.840.1.114222.4.5.288	Lab Test (PHLIP)	PH_LabTest_PHLIP	1.33	PLT
PLT130	Mannitol (D-) fermentation ISLT Ql cult	Mannitol (D-) fermentation ISLT Ql cult		2.16.840.1.114222.4.5.288	Lab Test (PHLIP)	PH_LabTest_PHLIP	1.33	PLT
PLT159	Mannose (D-) fermentation ISLT Ql cult	Mannose (D-) fermentation ISLT Ql cult		2.16.840.1.114222.4.5.288	Lab Test (PHLIP)	PH_LabTest_PHLIP	1.33	PLT
PLT233	Melezitose fermentation ISLT Ql cult	Melezitose fermentation ISLT Ql cult		2.16.840.1.114222.4.5.288	Lab Test (PHLIP)	PH_LabTest_PHLIP	1.33	PLT
PLT146	Melibiose fermentation ISLT Ql cult	Melibiose fermentation ISLT Ql cult		2.16.840.1.114222.4.5.288	Lab Test (PHLIP)	PH_LabTest_PHLIP	1.33	PLT
PLT114	Methyl Red ISLT Ql cult	Methyl Red ISLT Ql cult		2.16.840.1.114222.4.5.288	Lab Test (PHLIP)	PH_LabTest_PHLIP	1.33	PLT
PLT123	Motility ISLT Ql cult	Motility ISLT Ql cult		2.16.840.1.114222.4.5.288	Lab Test (PHLIP)	PH_LabTest_PHLIP	1.33	PLT
PLT149	Mucate fermentation ISLT Ql cult	Mucate fermentation ISLT Ql cult		2.16.840.1.114222.4.5.288	Lab Test (PHLIP)	PH_LabTest_PHLIP	1.33	PLT
PLT164	MUG (Glucuronidase) ISLT Ql cult	MUG (Glucuronidase) ISLT Ql cult		2.16.840.1.114222.4.5.288	Lab Test (PHLIP)	PH_LabTest_PHLIP	1.33	PLT
PLT154	Nitrate Reduction to Nitrate ISLT Ql cult	Nitrate Reduction to Nitrate ISLT Ql cult		2.16.840.1.114222.4.5.288	Lab Test (PHLIP)	PH_LabTest_PHLIP	1.33	PLT
PLT156	ONPG ISLT Ql cult	ONPG ISLT Ql cult		2.16.840.1.114222.4.5.288	Lab Test (PHLIP)	PH_LabTest_PHLIP	1.33	PLT
PLT122	Ornithine decarboxylase ISLT Ql cult	Ornithine decarboxylase ISLT Ql cult		2.16.840.1.114222.4.5.288	Lab Test (PHLIP)	PH_LabTest_PHLIP	1.33	PLT
PLT119	Phenylalanine deaminase ISLT Ql cult	Phenylalanine deaminase ISLT Ql cult		2.16.840.1.114222.4.5.288	Lab Test (PHLIP)	PH_LabTest_PHLIP	1.33	PLT
PLT137	Raffinose fermentation ISLT Ql cult	Raffinose fermentation ISLT Ql cult		2.16.840.1.114222.4.5.288	Lab Test (PHLIP)	PH_LabTest_PHLIP	1.33	PLT
