Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Route Method of Delivery SpontaneousProcedure (NCHS)	PHVS_RouteMethodOfDeliverySpontaneousProcedure_NCHS	2.16.840.1.114222.4.11.7604	1	To reflect the procedures of a spontaneous method of delivery	Published	08/01/2017	v1

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
177157003	Spontaneous breech delivery (procedure)	Spontaneous breech delivery (procedure)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
177152009	Breech extraction delivery with version (procedure)	Breech extraction delivery with version (procedure)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
302382009	Breech extraction with internal podalic version (procedure)	Breech extraction with internal podalic version (procedure)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
236982004	Delivery of the after coming head (procedure)	Delivery of the after coming head (procedure)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
236983009	Burns Marshall maneuver (procedure)	Burns Marshall maneuver (procedure)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
236978001	Forceps delivery to the aftercoming head (procedure)	Forceps delivery to the aftercoming head (procedure)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
236984003	Mauriceau Smellie Veit maneuver (procedure)	Mauriceau Smellie Veit maneuver (procedure)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
236980007	Groin traction at breech delivery (procedure)	Groin traction at breech delivery (procedure)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
236981006	Lovset's maneuver (procedure)	Lovset's maneuver (procedure)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
5556001	Manually assisted spontaneous delivery (procedure)	Manually assisted spontaneous delivery (procedure)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
48204000	Spontaneous unassisted delivery, medical personnel present (procedure)	Spontaneous unassisted delivery, medical personnel present (procedure)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
