Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
STORET Chemicals (EPA)	PHVS_STORET_EPA	2.16.840.1.114222.4.11.3056	1	STORET (short for STOrage and RETrieval) is a repository for water quality, biological, and physical data and is used by state environmental agencies, EPA and other federal agencies, universities, private citizens, and many others	Published	10/22/2008	Initial Load VADS 3.0

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
2568	.alpha.-D-Glucopyranoside, .beta.-D-fructofuranosyl	.alpha.-D-Glucopyranoside, .beta.-D-fructofuranosyl		2.16.840.1.113883.6.275	EPA SRS	PH_EPA_SRS	2017	EPASRS
961599	.beta.-D-erythro-Hex-2-enopyranuronic acid, 4-[[3-amino-5-[(aminoiminomethyl)methylamino]-1-oxopentyl]amino]-1-(4-amino-2-oxo-1(2H)-pyrimidinyl)-1,2,3,4-tetradeoxy-, (S)-	.beta.-D-erythro-Hex-2-enopyranuronic acid, 4-[[3-amino-5-[(aminoiminomethyl)methylamino]-1-oxopentyl]amino]-1-(4-amino-2-oxo-1(2H)-pyrimidinyl)-1,2,3,4-tetradeoxy-, (S)-		2.16.840.1.113883.6.275	EPA SRS	PH_EPA_SRS	2017	EPASRS
14498	[1,1'-Biphenyl]-4,4'-diamine	[1,1'-Biphenyl]-4,4'-diamine		2.16.840.1.113883.6.275	EPA SRS	PH_EPA_SRS	2017	EPASRS
13755	[1,1'-Biphenyl]-4,4'-diamine, 3,3'-dichloro-	[1,1'-Biphenyl]-4,4'-diamine, 3,3'-dichloro-		2.16.840.1.113883.6.275	EPA SRS	PH_EPA_SRS	2017	EPASRS
30924	[1,1'-Biphenyl]-4,4'-diamine, 3,3'-dimethoxy-	[1,1'-Biphenyl]-4,4'-diamine, 3,3'-dimethoxy-		2.16.840.1.113883.6.275	EPA SRS	PH_EPA_SRS	2017	EPASRS
30940	[1,1'-Biphenyl]-4,4'-diamine, 3,3'-dimethyl-	[1,1'-Biphenyl]-4,4'-diamine, 3,3'-dimethyl-		2.16.840.1.113883.6.275	EPA SRS	PH_EPA_SRS	2017	EPASRS
14308	[1,1'-Biphenyl]-4-amine	[1,1'-Biphenyl]-4-amine		2.16.840.1.113883.6.275	EPA SRS	PH_EPA_SRS	2017	EPASRS
9746	[1]Benzopyrano[3,4-b]furo[2,3-h][1]benzopyran-6(6aH)-one, 1,2,12,12a-tetrahydro-8,9-dimethoxy-2-(1-methylethenyl)-, (2R,6aS,12aS)-	[1]Benzopyrano[3,4-b]furo[2,3-h][1]benzopyran-6(6aH)-one, 1,2,12,12a-tetrahydro-8,9-dimethoxy-2-(1-methylethenyl)-, (2R,6aS,12aS)-		2.16.840.1.113883.6.275	EPA SRS	PH_EPA_SRS	2017	EPASRS
966804	[Carbamodithioic acid, 1,2-ethanediylbis-,] oxidation products	[Carbamodithioic acid, 1,2-ethanediylbis-,] oxidation products		2.16.840.1.113883.6.275	EPA SRS	PH_EPA_SRS	2017	EPASRS
11213	1(3H)-Isobenzofuranone	1(3H)-Isobenzofuranone		2.16.840.1.113883.6.275	EPA SRS	PH_EPA_SRS	2017	EPASRS
9811	1,1':2',1''-Terphenyl	1,1':2',1''-Terphenyl		2.16.840.1.113883.6.275	EPA SRS	PH_EPA_SRS	2017	EPASRS
13862	1,1':3',1''-Terphenyl	1,1':3',1''-Terphenyl		2.16.840.1.113883.6.275	EPA SRS	PH_EPA_SRS	2017	EPASRS
36475	1,1':4',1'':4'',1'''-Quaterphenyl	1,1':4',1'':4'',1'''-Quaterphenyl		2.16.840.1.113883.6.275	EPA SRS	PH_EPA_SRS	2017	EPASRS
14555	1,1':4',1''-Terphenyl	1,1':4',1''-Terphenyl		2.16.840.1.113883.6.275	EPA SRS	PH_EPA_SRS	2017	EPASRS
58701	1,1'-Binaphthalene	1,1'-Binaphthalene		2.16.840.1.113883.6.275	EPA SRS	PH_EPA_SRS	2017	EPASRS
14183	1,1'-Biphenyl	1,1'-Biphenyl		2.16.840.1.113883.6.275	EPA SRS	PH_EPA_SRS	2017	EPASRS
96222	1,1'-Biphenyl, 2,2',3,3',4,4',5,5',6,6'-decachloro-	1,1'-Biphenyl, 2,2',3,3',4,4',5,5',6,6'-decachloro-		2.16.840.1.113883.6.275	EPA SRS	PH_EPA_SRS	2017	EPASRS
17163742	1,1'-Biphenyl, 2,2',3,3',4,4',5,5',6,6'-decafluoro-	1,1'-Biphenyl, 2,2',3,3',4,4',5,5',6,6'-decafluoro-		2.16.840.1.113883.6.275	EPA SRS	PH_EPA_SRS	2017	EPASRS
739359	1,1'-Biphenyl, 2,2',3,3',4,4',5,5',6-nonachloro-	1,1'-Biphenyl, 2,2',3,3',4,4',5,5',6-nonachloro-		2.16.840.1.113883.6.275	EPA SRS	PH_EPA_SRS	2017	EPASRS
739177	1,1'-Biphenyl, 2,2',3,3',4,4',5,5'-octachloro-	1,1'-Biphenyl, 2,2',3,3',4,4',5,5'-octachloro-		2.16.840.1.113883.6.275	EPA SRS	PH_EPA_SRS	2017	EPASRS
739623	1,1'-Biphenyl, 2,2',3,3',4,4',5,6,6'-nonachloro-	1,1'-Biphenyl, 2,2',3,3',4,4',5,6,6'-nonachloro-		2.16.840.1.113883.6.275	EPA SRS	PH_EPA_SRS	2017	EPASRS
739466	1,1'-Biphenyl, 2,2',3,3',4,4',5,6'-octachloro-	1,1'-Biphenyl, 2,2',3,3',4,4',5,6'-octachloro-		2.16.840.1.113883.6.275	EPA SRS	PH_EPA_SRS	2017	EPASRS
739615	1,1'-Biphenyl, 2,2',3,3',4,4',5,6-octachloro-	1,1'-Biphenyl, 2,2',3,3',4,4',5,6-octachloro-		2.16.840.1.113883.6.275	EPA SRS	PH_EPA_SRS	2017	EPASRS
967521	1,1'-Biphenyl, 2,2',3,3',4,4',5,6-octachloro- and/or 2,2',3,3',4,5,5',6,6'-Nonachlorobiphenyl	1,1'-Biphenyl, 2,2',3,3',4,4',5,6-octachloro- and/or 2,2',3,3',4,5,5',6,6'-Nonachlorobiphenyl		2.16.840.1.113883.6.275	EPA SRS	PH_EPA_SRS	2017	EPASRS
967471	1,1'-Biphenyl, 2,2',3,3',4,4',5,6'-octachloro- and/or 2,2',3,4,4',5,5',6-Octachlorobiphenyl	1,1'-Biphenyl, 2,2',3,3',4,4',5,6'-octachloro- and/or 2,2',3,4,4',5,5',6-Octachlorobiphenyl		2.16.840.1.113883.6.275	EPA SRS	PH_EPA_SRS	2017	EPASRS
