Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Seafood Type (FDD)	PHVS_SeafoodType_FDD	2.16.840.1.114222.4.11.3100	4	Type of raw seafood answer list	Published	11/08/2018	Removed other from the value set

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
B1331	CLAM	clams		2.16.840.1.113883.4.291	LanguaL	PH_Langual	Langual 2017	LANGUAL
B1335	CRAB	crab		2.16.840.1.113883.4.291	LanguaL	PH_Langual	Langual 2017	LANGUAL
B2686	CRAWFISH OR CRAYFISH	crawfish		2.16.840.1.113883.4.291	LanguaL	PH_Langual	Langual 2017	LANGUAL
B1222	FISH	fish		2.16.840.1.113883.4.291	LanguaL	PH_Langual	Langual 2017	LANGUAL
B1505	LOBSTER	lobster		2.16.840.1.113883.4.291	LanguaL	PH_Langual	Langual 2017	LANGUAL
B1223	MUSSEL	mussels		2.16.840.1.113883.4.291	LanguaL	PH_Langual	Langual 2017	LANGUAL
PHC378	Other shellfish	other shellfish (specify)		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
B1224	OYSTER	oysters		2.16.840.1.113883.4.291	LanguaL	PH_Langual	Langual 2017	LANGUAL
B1489	SCALLOP	scallops		2.16.840.1.113883.4.291	LanguaL	PH_Langual	Langual 2017	LANGUAL
B1237	SHRIMP	shrimp		2.16.840.1.113883.4.291	LanguaL	PH_Langual	Langual 2017	LANGUAL
