Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Seizure or Serious Neurologic Dysfunction (NCHS)	PHVS_SeizureOrSeriousNeurologicDysfunction_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.10	3	To Reflect that the newborn suffered a Seizure or Serious Neurologic Dysfunction reflecting an abnormal condition of the newborn.	Published	10/29/2014	Initial Import for : 0E54B5C8-ABC0-DF11-AB08-0015173D1785

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
91175000	Seizure	Seizure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
2665008	Coordinate convulsion 	Coordinate convulsion 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
6208003	Clonic seizure	Clonic seizure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
19593003	Movement partial seizure	Movement partial seizure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
20544001	Secondarily generalized seizures 	Secondarily generalized seizures 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
28534004	Spastic paralysis due to intracranial birth injury 	Spastic paralysis due to intracranial birth injury 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
40980002	Spastic paralysis due to birth injury	Spastic paralysis due to birth injury		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
41119002	Akinetic seizure without atonia	Akinetic seizure without atonia		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
41510006	Anoxic seizure 	Anoxic seizure 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
54200006	Tonic-clonic seizure 	Tonic-clonic seizure 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
58895005	Central convulsion	Central convulsion		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
59754009	Brief atonic seizure 	Brief atonic seizure 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
65155005	Grand mal seizure	Grand mal seizure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
79591004	Spastic paralysis due to spinal birth injury	Spastic paralysis due to spinal birth injury		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
87185006	Long atonic seizure	Long atonic seizure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
95628005	Neonatal encephalopathy	Neonatal encephalopathy		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
163590008	On examination - grand mal fit 	On examination - grand mal fit 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
192981006	Epileptic seizures - atonic 	Epileptic seizures - atonic 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
192982004	Epileptic seizures - akinetic	Epileptic seizures - akinetic		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
192991000	Epileptic seizures - clonic 	Epileptic seizures - clonic 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
192993002	Epileptic seizures - tonic	Epileptic seizures - tonic		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
246545002	Generalized seizure 	Generalized seizure 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
277479000	Postnatal hypoxic encephalopathy 	Postnatal hypoxic encephalopathy 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
277480002	Neonatal asphyxial encephalopathy	Neonatal asphyxial encephalopathy		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
313307000	Epileptic seizure	Epileptic seizure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
371129000	Paralysis from birth trauma	Paralysis from birth trauma		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
433083002	Complex febrile seizure 	Complex febrile seizure 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
438156004	Anoxic epileptic seizure	Anoxic epileptic seizure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
440443001	Reflex anoxic seizure 	Reflex anoxic seizure 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
444229001	Afebrile seizure	Afebrile seizure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
