Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Setting of Further Spread	PHVS_SettingOfFurtherSpread_CDC	2.16.840.1.114222.4.11.7332	1	Secondary transmission setting, if the condition has spread beyond the original contact.
	Published	10/30/2015	Initial Import for : 9463FE26-AC0F-E511-B114-0017A477041A

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
C1510656	Athletics	Athletics		2.16.840.1.113883.6.86	UMLS	PH_UMLS	20200301	UML
224864007	College (environment)	College		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
133928008	Community (social concept)	Community		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
1348009	Day care center (environment)	Day care center		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
ER	Emergency room	Hospital ER		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20140716	ROLECODE
264362003	Home (environment)	Home		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
C0029916	Hospital Outpatient Clinic	Hospital Outpatient Clinic		2.16.840.1.113883.6.86	UMLS	PH_UMLS	20200301	UML
PHC179	International Travel	International Travel		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC64	Military (Environment)	Military		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC1320	No documented spread outside household	No documented spread outside household		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
OTH	other	Other		2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
257656006	Penal institution (environment)	Correctional Facility		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
257659004	Place of worship (environment)	Church		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
257698009	School (environment)	School		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
PHC1319	Setting outside Household	Setting outside Household		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
83891005	Solo practice private office (environment)	Doctor’s Office		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
UNK	unknown	Unknown	ZZ	2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
225746001	Ward (environment)	Hospital Ward		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
285141008	Work environment (environment)	Work		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
