Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Signs and Symptoms (COVID-19)	PHVS_SignsSymptoms_COVID-19	2.16.840.1.114222.4.11.7944	1	Signs and symptoms related to COVID-19.This value set is used to populate OBX-3 Observation Identifier in the message.	Published	05/27/2020	v1

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
21522001	Abdominal pain (finding)	Abdominal pain		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
29857009	Chest pain (finding)	Chest pain		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
43724002	Chill (finding)	Chills		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
49727002	Cough (finding)	Cough (new onset or worsening of chronic cough)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
62315008	Diarrhea (finding)	Diarrhea (3 or more loose stools/24hr period)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
230145002	Difficulty breathing (finding)	Difficulty breathing		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
267036007	Dyspnea (finding)	Shortness of breath (dyspnea)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
84229001	Fatigue (finding)	Fatigue		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
103001002	Feeling feverish (finding)	Subjective fever (felt feverish)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
426000000	Fever greater than 100.4 Fahrenheit (finding)	Fever >100.4F (38C)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
300359004	Finding of vomiting	Vomiting		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
25064002	Headache (finding)	Headache		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
44169009	Loss of sense of smell (finding)	New Olfactory disorder		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
36955009	Loss of taste (finding)	New Taste disorder		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
68962001	Muscle pain (finding)	Muscle aches (myalgia)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
64531003	Nasal discharge (finding)	Runny nose (rhinorrhea)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
422587007	Nausea (finding)	Nausea		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
OTH	other	Other symptom (specify)		2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
162397003	Pain in throat (finding)	Sore throat		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
38880002	Rigor (finding)	Rigors		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
UNK	Unknown	Unknown	ZZ	2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
56018004	Wheezing (finding)	Wheezing		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
