Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Medical Specialty (HL7)	PHVS_SpecialtyType_HL7_2x	2.16.840.1.114222.4.11.916	1	Medical service under which patient is being treated.	Published	10/22/2008	Initial Load VADS 3.0

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
ALC	Allergy	Allergy		2.16.840.1.113883.12.265	Specialty type (HL7)	PH_SpecialtyType_HL7_2x	HL7 v2.5	HL70265
Y	Ambulatory	Ambulatory		2.16.840.1.113883.12.265	Specialty type (HL7)	PH_SpecialtyType_HL7_2x	HL7 v2.5	HL70265
CAN	Cancer	Cancer		2.16.840.1.113883.12.265	Specialty type (HL7)	PH_SpecialtyType_HL7_2x	HL7 v2.5	HL70265
CHI	Chiropractic	Chiropractic		2.16.840.1.113883.12.265	Specialty type (HL7)	PH_SpecialtyType_HL7_2x	HL7 v2.5	HL70265
CAR	Coronary/cardiac care	Coronary/cardiac care		2.16.840.1.113883.12.265	Specialty type (HL7)	PH_SpecialtyType_HL7_2x	HL7 v2.5	HL70265
CCR	Critical care	Critical care		2.16.840.1.113883.12.265	Specialty type (HL7)	PH_SpecialtyType_HL7_2x	HL7 v2.5	HL70265
EDI	Education	Education		2.16.840.1.113883.12.265	Specialty type (HL7)	PH_SpecialtyType_HL7_2x	HL7 v2.5	HL70265
EMR	Emergency	Emergency		2.16.840.1.113883.12.265	Specialty type (HL7)	PH_SpecialtyType_HL7_2x	HL7 v2.5	HL70265
FPC	Family planning	Family planning		2.16.840.1.113883.12.265	Specialty type (HL7)	PH_SpecialtyType_HL7_2x	HL7 v2.5	HL70265
PHY	General/family practice	General/family practice		2.16.840.1.113883.12.265	Specialty type (HL7)	PH_SpecialtyType_HL7_2x	HL7 v2.5	HL70265
INT	Intensive care	Intensive care		2.16.840.1.113883.12.265	Specialty type (HL7)	PH_SpecialtyType_HL7_2x	HL7 v2.5	HL70265
ISO	Isolation	Isolation		2.16.840.1.113883.12.265	Specialty type (HL7)	PH_SpecialtyType_HL7_2x	HL7 v2.5	HL70265
NAT	Naturopathic	Naturopathic		2.16.840.1.113883.12.265	Specialty type (HL7)	PH_SpecialtyType_HL7_2x	HL7 v2.5	HL70265
NBI	Newborn, nursery, infants	Newborn, nursery, infants		2.16.840.1.113883.12.265	Specialty type (HL7)	PH_SpecialtyType_HL7_2x	HL7 v2.5	HL70265
OBS	Observation	Observation		2.16.840.1.113883.12.265	Specialty type (HL7)	PH_SpecialtyType_HL7_2x	HL7 v2.5	HL70265
OBG	Obstetrics, gynecology	Obstetrics, gynecology		2.16.840.1.113883.12.265	Specialty type (HL7)	PH_SpecialtyType_HL7_2x	HL7 v2.5	HL70265
OTH	Other specialty	Other specialty		2.16.840.1.113883.12.265	Specialty type (HL7)	PH_SpecialtyType_HL7_2x	HL7 v2.5	HL70265
PPS	Pediatric psychiatric	Pediatric psychiatric		2.16.840.1.113883.12.265	Specialty type (HL7)	PH_SpecialtyType_HL7_2x	HL7 v2.5	HL70265
PRE	Pediatric rehabilitation	Pediatric rehabilitation		2.16.840.1.113883.12.265	Specialty type (HL7)	PH_SpecialtyType_HL7_2x	HL7 v2.5	HL70265
PIN	Pediatric/neonatal intensive care	Pediatric/neonatal intensive care		2.16.840.1.113883.12.265	Specialty type (HL7)	PH_SpecialtyType_HL7_2x	HL7 v2.5	HL70265
PED	Pediatrics	Pediatrics		2.16.840.1.113883.12.265	Specialty type (HL7)	PH_SpecialtyType_HL7_2x	HL7 v2.5	HL70265
PSY	Psychiatric	Psychiatric		2.16.840.1.113883.12.265	Specialty type (HL7)	PH_SpecialtyType_HL7_2x	HL7 v2.5	HL70265
PSI	Psychiatric intensive care	Psychiatric intensive care		2.16.840.1.113883.12.265	Specialty type (HL7)	PH_SpecialtyType_HL7_2x	HL7 v2.5	HL70265
REH	Rehabilitation	Rehabilitation		2.16.840.1.113883.12.265	Specialty type (HL7)	PH_SpecialtyType_HL7_2x	HL7 v2.5	HL70265
SUR	Surgery	Surgery		2.16.840.1.113883.12.265	Specialty type (HL7)	PH_SpecialtyType_HL7_2x	HL7 v2.5	HL70265
WIC	Walk-in clinic	Walk-in clinic		2.16.840.1.113883.12.265	Specialty type (HL7)	PH_SpecialtyType_HL7_2x	HL7 v2.5	HL70265
