Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Specimen Reject Reason (HL7)	PHVS_SpecimenRejectReason_HL7_2x	2.16.840.1.114222.4.11.1044	1	One or more reasons the specimen is rejected for the specified observation/result/analysis.  Refers to HL7 table 0490-Specimen Reject Reason.	Published	10/22/2008	Initial Load VADS 3.0

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
RB	Broken container	Broken container		2.16.840.1.113883.12.490	Specimen Reject Reason (HL7)	PH_SpecimenRejectReason_HL7_2x	HL7 v2.5	HL70490
RC	Clotting	Clotting		2.16.840.1.113883.12.490	Specimen Reject Reason (HL7)	PH_SpecimenRejectReason_HL7_2x	HL7 v2.5	HL70490
RN	Contamination	Contamination		2.16.840.1.113883.12.490	Specimen Reject Reason (HL7)	PH_SpecimenRejectReason_HL7_2x	HL7 v2.5	HL70490
EX	Expired	Expired		2.16.840.1.113883.12.490	Specimen Reject Reason (HL7)	PH_SpecimenRejectReason_HL7_2x	HL7 v2.5	HL70490
RH	Hemolysis	Hemolysis		2.16.840.1.113883.12.490	Specimen Reject Reason (HL7)	PH_SpecimenRejectReason_HL7_2x	HL7 v2.5	HL70490
RI	Identification problem	Identification problem		2.16.840.1.113883.12.490	Specimen Reject Reason (HL7)	PH_SpecimenRejectReason_HL7_2x	HL7 v2.5	HL70490
RR	Improper storage	Improper storage		2.16.840.1.113883.12.490	Specimen Reject Reason (HL7)	PH_SpecimenRejectReason_HL7_2x	HL7 v2.5	HL70490
RM	Labeling	Labeling		2.16.840.1.113883.12.490	Specimen Reject Reason (HL7)	PH_SpecimenRejectReason_HL7_2x	HL7 v2.5	HL70490
RD	Missing collection date	Missing collection date		2.16.840.1.113883.12.490	Specimen Reject Reason (HL7)	PH_SpecimenRejectReason_HL7_2x	HL7 v2.5	HL70490
RA	Missing patient ID number	Missing patient ID number		2.16.840.1.113883.12.490	Specimen Reject Reason (HL7)	PH_SpecimenRejectReason_HL7_2x	HL7 v2.5	HL70490
RE	Missing patient name	Missing patient name		2.16.840.1.113883.12.490	Specimen Reject Reason (HL7)	PH_SpecimenRejectReason_HL7_2x	HL7 v2.5	HL70490
RP	Missing phlebotomist ID	Missing phlebotomist ID		2.16.840.1.113883.12.490	Specimen Reject Reason (HL7)	PH_SpecimenRejectReason_HL7_2x	HL7 v2.5	HL70490
RS	Name misspelling	Name misspelling		2.16.840.1.113883.12.490	Specimen Reject Reason (HL7)	PH_SpecimenRejectReason_HL7_2x	HL7 v2.5	HL70490
QS	Quantity not sufficient	Quantity not sufficient		2.16.840.1.113883.12.490	Specimen Reject Reason (HL7)	PH_SpecimenRejectReason_HL7_2x	HL7 v2.5	HL70490
