Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Specimen Source (PHLIP)	PHVS_SpecimenSource_PHLIP	2.16.840.1.114222.4.11.3020	2	Specimen Source from HL7 Table 0070. PHLIP is migrating to use of SNOMED as specimen source - need to review if doable with next release or the release after that	Published	10/22/2008	Updates necessary for H1N1 Flu

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
ABS	Abscess	Abscess		2.16.840.1.113883.12.70	Specimen Source (HL7)	PH_SpecimenSource_HL7_2x	HL7 v2.5	HL70070
PELVA	Abscess, Pelvic	Abscess, Pelvic		2.16.840.1.113883.12.70	Specimen Source (HL7)	PH_SpecimenSource_HL7_2x	HL7 v2.5	HL70070
PERIA	Abscess, Perianal	Abscess, Perianal		2.16.840.1.113883.12.70	Specimen Source (HL7)	PH_SpecimenSource_HL7_2x	HL7 v2.5	HL70070
RECTA	Abscess, Rectal	Abscess, Rectal		2.16.840.1.113883.12.70	Specimen Source (HL7)	PH_SpecimenSource_HL7_2x	HL7 v2.5	HL70070
SCROA	Abscess, Scrotal	Abscess, Scrotal		2.16.840.1.113883.12.70	Specimen Source (HL7)	PH_SpecimenSource_HL7_2x	HL7 v2.5	HL70070
SUBMA	Abscess, Submandibular	Abscess, Submandibular		2.16.840.1.113883.12.70	Specimen Source (HL7)	PH_SpecimenSource_HL7_2x	HL7 v2.5	HL70070
SUBMX	Abscess, Submaxillary	Abscess, Submaxillary		2.16.840.1.113883.12.70	Specimen Source (HL7)	PH_SpecimenSource_HL7_2x	HL7 v2.5	HL70070
TSTES	Abscess, Testicular	Abscess, Testicular		2.16.840.1.113883.12.70	Specimen Source (HL7)	PH_SpecimenSource_HL7_2x	HL7 v2.5	HL70070
AIRS	Air Sample	Air Sample		2.16.840.1.113883.12.70	Specimen Source (HL7)	PH_SpecimenSource_HL7_2x	HL7 v2.5	HL70070
ALL	Allograft	Allograft		2.16.840.1.113883.12.70	Specimen Source (HL7)	PH_SpecimenSource_HL7_2x	HL7 v2.5	HL70070
AMN	Amniotic fluid	Amniotic fluid		2.16.840.1.113883.12.70	Specimen Source (HL7)	PH_SpecimenSource_HL7_2x	HL7 v2.5	HL70070
AMP	Amputation	Amputation		2.16.840.1.113883.12.70	Specimen Source (HL7)	PH_SpecimenSource_HL7_2x	HL7 v2.5	HL70070
GASAN	Antrum, Gastric	Antrum, Gastric		2.16.840.1.113883.12.70	Specimen Source (HL7)	PH_SpecimenSource_HL7_2x	HL7 v2.5	HL70070
