Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Specimen Type (Arbovirus)	PHVS_SpecimenType_Arbovirus	2.16.840.1.114222.4.11.7488	1	List of specimens associated with Arbovirus laboratory tests
	Published	03/17/2016	v1

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
429881000124104	Acute phase serum specimen	Acute phase serum specimen		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
119373006	Amniotic fluid specimen	Amniotic fluid specimen		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
119297000	Blood specimen	Blood specimen		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
309051001	Body fluid sample	Body fluid sample		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
258450006	Cerebrospinal fluid sample	Cerebrospinal fluid sample		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
429891000124101	Convalescent phase serum specimen	Convalescent phase serum specimen		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
122556008	Cord blood specimen	Cord blood specimen		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
110968003	Fetal cytologic material	Fetal cytologic material		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
309502007	Fetus specimen	Fetus specimen		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
119342007	Saliva specimen	Saliva specimen		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
119347001	Seminal fluid specimen	Seminal fluid specimen		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
119364003	Serum specimen	Serum specimen		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
119403008	Specimen from placenta	Specimen from placenta		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
119376003	Tissue specimen	Tissue specimen		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
128157004	Tissue specimen from brain	Tissue specimen from brain		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
122575003	Urine specimen	Urine specimen		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
