Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Specimen Type (HL7)	PHVS_SpecimenType_HL7_2x	2.16.840.1.114222.4.11.6046	1	Specimen Type (HL7)	Published	07/23/2012	version 1

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
ABS	Abscess	Abscess		2.16.840.1.113883.12.487	Specimen Type (HL7)	PH_SpecimenType_HL7_2x	HL7 v2.5	HL70487
PELVA	Abscess, Pelvic	Abscess, Pelvic		2.16.840.1.113883.12.487	Specimen Type (HL7)	PH_SpecimenType_HL7_2x	HL7 v2.5	HL70487
PERIA	Abscess, Perianal	Abscess, Perianal		2.16.840.1.113883.12.487	Specimen Type (HL7)	PH_SpecimenType_HL7_2x	HL7 v2.5	HL70487
RECTA	Abscess, Rectal	Abscess, Rectal		2.16.840.1.113883.12.487	Specimen Type (HL7)	PH_SpecimenType_HL7_2x	HL7 v2.5	HL70487
SCROA	Abscess, Scrotal	Abscess, Scrotal		2.16.840.1.113883.12.487	Specimen Type (HL7)	PH_SpecimenType_HL7_2x	HL7 v2.5	HL70487
SUBMA	Abscess, Submandibular	Abscess, Submandibular		2.16.840.1.113883.12.487	Specimen Type (HL7)	PH_SpecimenType_HL7_2x	HL7 v2.5	HL70487
SUBMX	Abscess, Submaxillary	Abscess, Submaxillary		2.16.840.1.113883.12.487	Specimen Type (HL7)	PH_SpecimenType_HL7_2x	HL7 v2.5	HL70487
TSTES	Abscess, Testicular	Abscess, Testicular		2.16.840.1.113883.12.487	Specimen Type (HL7)	PH_SpecimenType_HL7_2x	HL7 v2.5	HL70487
AIRS	Air Sample	Air Sample		2.16.840.1.113883.12.487	Specimen Type (HL7)	PH_SpecimenType_HL7_2x	HL7 v2.5	HL70487
ALL	Allograft	Allograft		2.16.840.1.113883.12.487	Specimen Type (HL7)	PH_SpecimenType_HL7_2x	HL7 v2.5	HL70487
AMP	Amputation	Amputation		2.16.840.1.113883.12.487	Specimen Type (HL7)	PH_SpecimenType_HL7_2x	HL7 v2.5	HL70487
GASAN	Antrum, Gastric	Antrum, Gastric		2.16.840.1.113883.12.487	Specimen Type (HL7)	PH_SpecimenType_HL7_2x	HL7 v2.5	HL70487
ASP	Aspirate	Aspirate		2.16.840.1.113883.12.487	Specimen Type (HL7)	PH_SpecimenType_HL7_2x	HL7 v2.5	HL70487
ETA	Aspirate,  Endotrach	Aspirate,  Endotrach		2.16.840.1.113883.12.487	Specimen Type (HL7)	PH_SpecimenType_HL7_2x	HL7 v2.5	HL70487
GASA	Aspirate, Gastric	Aspirate, Gastric		2.16.840.1.113883.12.487	Specimen Type (HL7)	PH_SpecimenType_HL7_2x	HL7 v2.5	HL70487
NGASP	Aspirate, Nasogastric	Aspirate, Nasogastric		2.16.840.1.113883.12.487	Specimen Type (HL7)	PH_SpecimenType_HL7_2x	HL7 v2.5	HL70487
TASP	Aspirate, Tracheal	Aspirate, Tracheal		2.16.840.1.113883.12.487	Specimen Type (HL7)	PH_SpecimenType_HL7_2x	HL7 v2.5	HL70487
TTRA	Aspirate, Transtracheal	Aspirate, Transtracheal		2.16.840.1.113883.12.487	Specimen Type (HL7)	PH_SpecimenType_HL7_2x	HL7 v2.5	HL70487
AUTP	Autopsy	Autopsy		2.16.840.1.113883.12.487	Specimen Type (HL7)	PH_SpecimenType_HL7_2x	HL7 v2.5	HL70487
BX	Biopsy	Biopsy		2.16.840.1.113883.12.487	Specimen Type (HL7)	PH_SpecimenType_HL7_2x	HL7 v2.5	HL70487
GSPEC	Biopsy, Gastric	Biopsy, Gastric		2.16.840.1.113883.12.487	Specimen Type (HL7)	PH_SpecimenType_HL7_2x	HL7 v2.5	HL70487
SKBP	Biopsy, Skin	Biopsy, Skin		2.16.840.1.113883.12.487	Specimen Type (HL7)	PH_SpecimenType_HL7_2x	HL7 v2.5	HL70487
CONE	Biospy, Cone	Biospy, Cone		2.16.840.1.113883.12.487	Specimen Type (HL7)	PH_SpecimenType_HL7_2x	HL7 v2.5	HL70487
BITE	Bite	Bite		2.16.840.1.113883.12.487	Specimen Type (HL7)	PH_SpecimenType_HL7_2x	HL7 v2.5	HL70487
