Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Specimen Type (RIBD)	PHVS_SpecimenType_RIBD	2.16.840.1.114222.4.11.7774	4	Specimen type from which organism was isolated. 
	Published	11/27/2019	v4: Removed middle ear and sinus

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
119373006	Amniotic fluid	Amniotic fluid		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
258607008	Bronchoalveolar lavage fluid sample (specimen)	BAL		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
119297000	Blood specimen (specimen)	Blood		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
430268003	Specimen from bone (specimen)	Bone		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
119398007	Specimen from brain (specimen)	Brain		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
258450006	Cerebrospinal fluid sample (specimen)	CSF		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
127462005	Specimen from heart (specimen)	Heart		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
PHC274	Internal body site	Internal body site		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
110522009	Joint	Joint		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
127473003	Specimen from kidney (specimen)	Kidney		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
119383005	Specimen from liver (specimen)	Liver		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
127458004	Specimen from lung (specimen)	Lung		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
258589002	Lymph node sample (specimen)	Lymph Node		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
PHC1003	Muscle/Fascia/Tendon	Muscle/Fascia/Tendon		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
258500001	Nasopharyngeal swab (specimen)	Nasopharyngeal swab		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
258529004	Throat swab (specimen)	Oropharyngeal swab		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
128155007	Specimen from ovary (specimen)	Ovary		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
127469001	Specimen from pancreas (specimen)	Pancreas		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
122571007	Pericardial fluid specimen (specimen)	Pericardial fluid		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
168139001	Peritoneal fluid (specimen)	Peritoneal fluid		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
119403008	Placenta	Placenta		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
418564007	Pleural fluid specimen (specimen)	Pleural fluid		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
PHC2187	Specimen from purpuric lesions	Purpuric lesions		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
415293009	Respiratory secretion (specimen)	Respiratory secretion		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
119364003	Serum specimen (specimen)	Serum		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
433308004	Specimen from spleen (specimen)	Spleen		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
119334006	Sputum sample (specimen)	Sputum		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
119339001	Stool specimen (specimen)	Stool		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
445447003	Specimen from trachea obtained by aspiration (specimen)	Tracheal aspirate 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
122575003	Urine specimen (specimen)	Urine		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
PHC1926	Vascular Tissue	Vascular Tissue		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
258438000	Vitreous humor sample (specimen)	Vitreous		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
119365002	Wound	Wound		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
OTH	other	other (specify)		2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
UNK	unknown	unknown	ZZ	2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
