Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
USDA Subject Descriptor	PHVS_SubjectDescriptor_USDA	2.16.840.1.113883.3.5.20.1	1	Descriptors provide a means to rapidly describe the general appearance of the animal for purposes of visual identification (e.g. for traceback activities).  They also may be used in place of the breed if the breed is not apparent (e.g. cow is coated in mud) or unknown (e.g. Dairy Breed)
	Published	12/14/2010	USDA - Version 1.0

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
1047	Age - Adult
	Adult		2.16.840.1.113883.3.5.14.3	USDA Subject Descriptor	PH_SubjectDescriptor_USDA	20100927	USDASD
1050	Age - Baby	Baby		2.16.840.1.113883.3.5.14.3	USDA Subject Descriptor	PH_SubjectDescriptor_USDA	20100927	USDASD
1046	Age - Egg	Egg		2.16.840.1.113883.3.5.14.3	USDA Subject Descriptor	PH_SubjectDescriptor_USDA	20100927	USDASD
1051	Age - Grower-Finisher	Grower-Finisher		2.16.840.1.113883.3.5.14.3	USDA Subject Descriptor	PH_SubjectDescriptor_USDA	20100927	USDASD
1052	Age - Nursery	Nursery		2.16.840.1.113883.3.5.14.3	USDA Subject Descriptor	PH_SubjectDescriptor_USDA	20100927	USDASD
1054	Age - Pre-Adult	Pre-Adult		2.16.840.1.113883.3.5.14.3	USDA Subject Descriptor	PH_SubjectDescriptor_USDA	20100927	USDASD
1053	Age - Suckling	Suckling		2.16.840.1.113883.3.5.14.3	USDA Subject Descriptor	PH_SubjectDescriptor_USDA	20100927	USDASD
1049	Avian Color - Polish	Polish		2.16.840.1.113883.3.5.14.3	USDA Subject Descriptor	PH_SubjectDescriptor_USDA	20100927	USDASD
1048	Avian Color - Silkie	Silkie		2.16.840.1.113883.3.5.14.3	USDA Subject Descriptor	PH_SubjectDescriptor_USDA	20100927	USDASD
