Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Substance Administered (CRA)	PHVS_SubstanceAdministered_CRA	2.16.840.1.114222.4.11.1049	1	Vaccine/substance administered as countermeasure response	Published	10/22/2008	Initial Load VADS 3.0

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
82	adenovirus vaccine, NOS	adenovirus, NOS		2.16.840.1.113883.12.292	Vaccines administered (CVX)	PH_VaccinesAdministeredCVX_CDC_NIP	20200506	CVX
54	adenovirus vaccine, type 4, live, oral	adenovirus, type 4		2.16.840.1.113883.12.292	Vaccines administered (CVX)	PH_VaccinesAdministeredCVX_CDC_NIP	20200506	CVX
55	adenovirus vaccine, type 7, live, oral	adenovirus, type 7		2.16.840.1.113883.12.292	Vaccines administered (CVX)	PH_VaccinesAdministeredCVX_CDC_NIP	20200506	CVX
24	anthrax vaccine	anthrax		2.16.840.1.113883.12.292	Vaccines administered (CVX)	PH_VaccinesAdministeredCVX_CDC_NIP	20200506	CVX
19	Bacillus Calmette-Guerin vaccine	BCG		2.16.840.1.113883.12.292	Vaccines administered (CVX)	PH_VaccinesAdministeredCVX_CDC_NIP	20200506	CVX
27	botulinum antitoxin	botulinum antitoxin		2.16.840.1.113883.12.292	Vaccines administered (CVX)	PH_VaccinesAdministeredCVX_CDC_NIP	20200506	CVX
26	cholera vaccine	cholera		2.16.840.1.113883.12.292	Vaccines administered (CVX)	PH_VaccinesAdministeredCVX_CDC_NIP	20200506	CVX
29	cytomegalovirus immune globulin, intravenous	CMVIG		2.16.840.1.113883.12.292	Vaccines administered (CVX)	PH_VaccinesAdministeredCVX_CDC_NIP	20200506	CVX
56	dengue fever vaccine	dengue fever		2.16.840.1.113883.12.292	Vaccines administered (CVX)	PH_VaccinesAdministeredCVX_CDC_NIP	20200506	CVX
28	diphtheria and tetanus toxoids, adsorbed for pediatric use	DT (pediatric)		2.16.840.1.113883.12.292	Vaccines administered (CVX)	PH_VaccinesAdministeredCVX_CDC_NIP	20200506	CVX
12	diphtheria antitoxin	diphtheria antitoxin		2.16.840.1.113883.12.292	Vaccines administered (CVX)	PH_VaccinesAdministeredCVX_CDC_NIP	20200506	CVX
20	diphtheria, tetanus toxoids and acellular pertussis vaccine	DTaP		2.16.840.1.113883.12.292	Vaccines administered (CVX)	PH_VaccinesAdministeredCVX_CDC_NIP	20200506	CVX
106	diphtheria, tetanus toxoids and acellular pertussis vaccine, 5 pertussis antigens	DTaP, 5 pertussis antigens		2.16.840.1.113883.12.292	Vaccines administered (CVX)	PH_VaccinesAdministeredCVX_CDC_NIP	20200506	CVX
130	Diphtheria, tetanus toxoids and acellular pertussis vaccine, and poliovirus vaccine, inactivated	DTaP-IPV		2.16.840.1.113883.12.292	Vaccines administered (CVX)	PH_VaccinesAdministeredCVX_CDC_NIP	20200506	CVX
120	diphtheria, tetanus toxoids and acellular pertussis vaccine, Haemophilus influenzae type b conjugate, and poliovirus vaccine, inactivated (DTaP-Hib-IPV)	DTaP-Hib-IPV		2.16.840.1.113883.12.292	Vaccines administered (CVX)	PH_VaccinesAdministeredCVX_CDC_NIP	20200506	CVX
107	diphtheria, tetanus toxoids and acellular pertussis vaccine, NOS	DTaP, NOS		2.16.840.1.113883.12.292	Vaccines administered (CVX)	PH_VaccinesAdministeredCVX_CDC_NIP	20200506	CVX
01	diphtheria, tetanus toxoids and pertussis vaccine	DTP		2.16.840.1.113883.12.292	Vaccines administered (CVX)	PH_VaccinesAdministeredCVX_CDC_NIP	20200506	CVX
50	DTaP-Haemophilus influenzae type b conjugate vaccine	DTaP-Hib		2.16.840.1.113883.12.292	Vaccines administered (CVX)	PH_VaccinesAdministeredCVX_CDC_NIP	20200506	CVX
110	DTaP-hepatitis B and poliovirus vaccine	DTaP-Hep B-IPV		2.16.840.1.113883.12.292	Vaccines administered (CVX)	PH_VaccinesAdministeredCVX_CDC_NIP	20200506	CVX
102	DTP- Haemophilus influenzae type b conjugate and hepatitis b vaccine	DTP-Hib-Hep B		2.16.840.1.113883.12.292	Vaccines administered (CVX)	PH_VaccinesAdministeredCVX_CDC_NIP	20200506	CVX
