Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Substance Treatment Refusal Reason	PHVS_SubstanceTreatmentRefusalReason_CRA	2.16.840.1.114222.4.11.1051	1	Reason a countermeasure referral subject refused treatment	Published	10/22/2008	Initial Load VADS 3.0

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
PHC67	Born outside the United States	Born outside of U.S.		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC82	Lab evidence of previous disease	Lab evidence of previous disease		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC83	MD diagnosis of previous disease	MD diagnosis of previous disease		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
397745006	Medical contraindication (finding)	Medical contraindication		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
PHC91	Never offered vaccine	Never offered vaccine		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
OTH	other	Other		2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
PHC94	Parent/Patient forgot to vaccinate	Parent/Patient forgot to vaccinate		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC95	Parent/Patient refusal	Parent/Patient refusal		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC93	Parent/patient report of previous disease	Parent/Patient report of disease		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC92	Philosophical objection	Philosophical objection		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC96	Religious exemption	Religious exemption		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC81	Under age for vaccination	Under age for vaccination		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
UNK	unknown	Unknown	ZZ	2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
