Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Suspected Chromosomal Disorder (NCHS)	PHVS_SuspectedChromosomalDisorder_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.57	2	To Reflect Suspected Chromosomal Disorder as an anomality of the newborn	Published	10/29/2014	Initial Import for : 6E8E6612-05C8-DF11-AB08-0015173D1785

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
409709004	Chromosomal disorder 	Chromosomal disorder 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
548004	13 p partial trisomy syndrome	13 p partial trisomy syndrome		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
4199009	18 p partial trisomy syndrome 	18 p partial trisomy syndrome 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
205636003	Whole chromosome monosomy - meiotic nondisjunction	Whole chromosome monosomy - meiotic nondisjunction		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
10572007	13 q partial trisomy syndrome	13 q partial trisomy syndrome		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
19550003	22 q partial monosomy syndrome	22 q partial monosomy syndrome		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
21111006	Complete trisomy 13 syndrome 	Complete trisomy 13 syndrome 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
38804009	Turner syndrome 	Turner syndrome 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
41040004	Complete trisomy 21 syndrome	Complete trisomy 21 syndrome		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
42712003	Cri du chat	Cri du chat		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
51500006	Complete trisomy 18 syndrome 	Complete trisomy 18 syndrome 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
62599000	9 p partial monosomy syndrome	9 p partial monosomy syndrome		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
66985009	18 q partial trisomy syndrome 	18 q partial trisomy syndrome 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
70173007	5 p partial monosomy syndrome	5 p partial monosomy syndrome		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
77128003	DiGeorge sequence	DiGeorge sequence		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
78740005	Complete monosomy 21 syndrome	Complete monosomy 21 syndrome		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
83092002	Shprintzen syndrome 	Shprintzen syndrome 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
83579008	Mixed gonadal dysgenesis	Mixed gonadal dysgenesis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
205615000	Trisomy 21- meiotic nondisjunction 	Trisomy 21- meiotic nondisjunction 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
205616004	Trisomy 21- mitotic nondisjunction mosaicism	Trisomy 21- mitotic nondisjunction mosaicism		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
205619006	Trisomy 13 - meiotic nondisjunction	Trisomy 13 - meiotic nondisjunction		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
205620000	Trisomy 13 - mitotic nondisjunction mosaicism	Trisomy 13 - mitotic nondisjunction mosaicism		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
205623003	Trisomy 18 - meiotic nondisjunction 	Trisomy 18 - meiotic nondisjunction 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
205624009	Trisomy 18 - mitotic nondisjunction mosaicism	Trisomy 18 - mitotic nondisjunction mosaicism		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
205634000	Deletion seen only at prometaphase	Deletion seen only at prometaphase		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
205638002	Monosomy 21- mosaicism 	Monosomy 21- mosaicism 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
205644003	Balanced autosomal translocation 	Balanced autosomal translocation 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
