Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Syphilis (NCHS)	PHVS_Syphilis_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.98	2	To reflect Syphilis as Infections present and treated during this pregnancy	Published	09/26/2014	Initial Import for : DB58E60D-81CD-DF11-AB08-0015173D1785

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
76272004	Syphilis	Syphilis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
1107004	Early latent syphilis/ positive serology/ negative cerebrospinal fluid/ with relapse after treatment  	Early latent syphilis/ positive serology/ negative cerebrospinal fluid/ with relapse after treatment  		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
3589003	Syphilitic pericarditis  	Syphilitic pericarditis  		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
4082005	Syphilitic myocarditis  	Syphilitic myocarditis  		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
4483005	Syphilitic punched out ulcer  	Syphilitic punched out ulcer  		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
8555001	Syphilis of lung  	Syphilis of lung  		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
10345003	Primary syphilis of tonsils 	Primary syphilis of tonsils 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
11338007	Syphilitic episcleritis 	Syphilitic episcleritis 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
12232008	Syphilitic aneurysm of aorta 	Syphilitic aneurysm of aorta 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
13095005	Primary symptomatic early syphilis 	Primary symptomatic early syphilis 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
13310005	Taboparesis 	Taboparesis 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
13731006	Secondary symptomatic early syphilis  	Secondary symptomatic early syphilis  		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
16070004	Syphilitic cirrhosis  	Syphilitic cirrhosis  		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
19206003	Syphilitic acoustic neuritis 	Syphilitic acoustic neuritis 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
19290004	Clutton's joints 	Clutton's joints 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
20735004	Syphilitic aortitis 	Syphilitic aortitis 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
21523006	Syphilitic gumma of central nervous system 	Syphilitic gumma of central nervous system 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
22386003	Syphilitic optic atrophy  	Syphilitic optic atrophy  		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
23550005	Syphilis of bursa  	Syphilis of bursa  		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
26039008	Neurosyphilis 	Neurosyphilis 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
26135000	Syphilitic encephalitis  	Syphilitic encephalitis  		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
27460003	Primary syphilis of breast  	Primary syphilis of breast  		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
28198007	Primary syphilis of lip  	Primary syphilis of lip  		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
30080002	Secondary syphilitic iridocyclitis  	Secondary syphilitic iridocyclitis  		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
31015008	Primary anal syphilis 	Primary anal syphilis 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
31137003	Early latent syphilis/ positive serology/ negative cerebrospinal fluid/ less than 2 years after infection   	Early latent syphilis/ positive serology/ negative cerebrospinal fluid/ less than 2 years after infection   		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
34242002	Syphilis in mother complicating pregnancy/ childbirth AND/OR puerperium  	Syphilis in mother complicating pregnancy/ childbirth AND/OR puerperium  		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
36276008	Syphilitic retrobulbar neuritis 	Syphilitic retrobulbar neuritis 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
37028008	Juvenile tabes 	Juvenile tabes 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
37430004	Syphilis of synovium 	Syphilis of synovium 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
37754005	Asymptomatic neurosyphilis 	Asymptomatic neurosyphilis 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
