Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
NAACCR TNM Edition Number	PHVS_TNMEditionNumber_NAACCR	2.16.840.1.113883.3.520.4.5	1	Code that indicates the edition of the AJCC manual used to stage the case.	Published	12/12/2010	1.0

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
99	Edition Unknown	Edition Unknown		2.16.840.1.113883.3.520.3.5	NAACCR TNM Edition Number	PH_TNMEditionNumber_NAACCR 	1.0	NAACCRTEN
5	Fifth Edition (published 1997), recommended for use for cases diagnosed 1998-2002	Fifth Edition (published 1997), recommended for use for cases diagnosed 1998-2002		2.16.840.1.113883.3.520.3.5	NAACCR TNM Edition Number	PH_TNMEditionNumber_NAACCR 	1.0	NAACCRTEN
1	First Edition	First Edition		2.16.840.1.113883.3.520.3.5	NAACCR TNM Edition Number	PH_TNMEditionNumber_NAACCR 	1.0	NAACCRTEN
4	Fourth Edition (published 1992), recommended for use for cases diagnosed 1993-1997	Fourth Edition (published 1992), recommended for use for cases diagnosed 1993-1997		2.16.840.1.113883.3.520.3.5	NAACCR TNM Edition Number	PH_TNMEditionNumber_NAACCR 	1.0	NAACCRTEN
88	Not applicable (cases that do not have an AJCC staging scheme)	Not applicable (cases that do not have an AJCC staging scheme)		2.16.840.1.113883.3.520.3.5	NAACCR TNM Edition Number	PH_TNMEditionNumber_NAACCR 	1.0	NAACCRTEN
0	Not staged (cases that have AJCC staging scheme and staging was not done)	Not staged (cases that have AJCC staging scheme and staging was not done)		2.16.840.1.113883.3.520.3.5	NAACCR TNM Edition Number	PH_TNMEditionNumber_NAACCR 	1.0	NAACCRTEN
2	Second Edition (published 1983)	Second Edition (published 1983)		2.16.840.1.113883.3.520.3.5	NAACCR TNM Edition Number	PH_TNMEditionNumber_NAACCR 	1.0	NAACCRTEN
7	Seventh Edition (published 2009), recommended for use with cases diagnosed 2010+	Seventh Edition (published 2009), recommended for use with cases diagnosed 2010+		2.16.840.1.113883.3.520.3.5	NAACCR TNM Edition Number	PH_TNMEditionNumber_NAACCR 	1.0	NAACCRTEN
6	Sixth Edition (published 2002), recommended for use for cases diagnosed 2003-2009	Sixth Edition (published 2002), recommended for use for cases diagnosed 2003-2009		2.16.840.1.113883.3.520.3.5	NAACCR TNM Edition Number	PH_TNMEditionNumber_NAACCR 	1.0	NAACCRTEN
3	Third Edition (published 1988)	Third Edition (published 1988)		2.16.840.1.113883.3.520.3.5	NAACCR TNM Edition Number	PH_TNMEditionNumber_NAACCR 	1.0	NAACCRTEN
