Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
TRI Chemicals (EPA)	PHVS_TRI_EPA	2.16.840.1.114222.4.11.3057	1	Toxics Release Inventory (TRI) data help communities identify facilities and chemical disposal or other release patterns that warrant further study and analysis.	Published	10/22/2008	Initial Load VADS 3.0

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
13003	[1,1'-Biphenyl]-2-ol	[1,1'-Biphenyl]-2-ol		2.16.840.1.113883.6.275	EPA SRS	PH_EPA_SRS	2017	EPASRS
35592	[1,1'-Biphenyl]-2-ol, sodium salt	[1,1'-Biphenyl]-2-ol, sodium salt		2.16.840.1.113883.6.275	EPA SRS	PH_EPA_SRS	2017	EPASRS
14498	[1,1'-Biphenyl]-4,4'-diamine	[1,1'-Biphenyl]-4,4'-diamine		2.16.840.1.113883.6.275	EPA SRS	PH_EPA_SRS	2017	EPASRS
13755	[1,1'-Biphenyl]-4,4'-diamine, 3,3'-dichloro-	[1,1'-Biphenyl]-4,4'-diamine, 3,3'-dichloro-		2.16.840.1.113883.6.275	EPA SRS	PH_EPA_SRS	2017	EPASRS
60129	[1,1'-Biphenyl]-4,4'-diamine, 3,3'-dichloro-, dihydrochloride	[1,1'-Biphenyl]-4,4'-diamine, 3,3'-dichloro-, dihydrochloride		2.16.840.1.113883.6.275	EPA SRS	PH_EPA_SRS	2017	EPASRS
343079	[1,1'-Biphenyl]-4,4'-diamine, 3,3'-dichloro-, sulfate (1:2)	[1,1'-Biphenyl]-4,4'-diamine, 3,3'-dichloro-, sulfate (1:2)		2.16.840.1.113883.6.275	EPA SRS	PH_EPA_SRS	2017	EPASRS
30924	[1,1'-Biphenyl]-4,4'-diamine, 3,3'-dimethoxy-	[1,1'-Biphenyl]-4,4'-diamine, 3,3'-dimethoxy-		2.16.840.1.113883.6.275	EPA SRS	PH_EPA_SRS	2017	EPASRS
217208	[1,1'-Biphenyl]-4,4'-diamine, 3,3'-dimethoxy-, dihydrochloride	[1,1'-Biphenyl]-4,4'-diamine, 3,3'-dimethoxy-, dihydrochloride		2.16.840.1.113883.6.275	EPA SRS	PH_EPA_SRS	2017	EPASRS
617530	[1,1'-Biphenyl]-4,4'-diamine, 3,3'-dimethoxy-, monohydrochloride	[1,1'-Biphenyl]-4,4'-diamine, 3,3'-dimethoxy-, monohydrochloride		2.16.840.1.113883.6.275	EPA SRS	PH_EPA_SRS	2017	EPASRS
30940	[1,1'-Biphenyl]-4,4'-diamine, 3,3'-dimethyl-	[1,1'-Biphenyl]-4,4'-diamine, 3,3'-dimethyl-		2.16.840.1.113883.6.275	EPA SRS	PH_EPA_SRS	2017	EPASRS
