Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Telecommunication Equipment Type (HL7)	PHVS_TelecommunicationEquipmentType_HL7_2x	2.16.840.1.114222.4.11.817	2	HL7 table 0202 contains a list of types of telecommunication equipment	Published	06/14/2018	Added new code SAT from v2.6

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
BP	Beeper	Beeper		2.16.840.1.113883.12.202	Telecommunication equipment type (HL7)	PH_TelecommunicationEquipmentType_HL7_2x	HL7 v2.8.2	HL70202
CP	Cellular Phone	Cellular Phone		2.16.840.1.113883.12.202	Telecommunication equipment type (HL7)	PH_TelecommunicationEquipmentType_HL7_2x	HL7 v2.8.2	HL70202
FX	Fax	Fax		2.16.840.1.113883.12.202	Telecommunication equipment type (HL7)	PH_TelecommunicationEquipmentType_HL7_2x	HL7 v2.8.2	HL70202
Internet	Internet Address: Use Only If Telecommunication Use Code Is NET	Internet Address: Use Only If Telecommunication Use Code Is NET		2.16.840.1.113883.12.202	Telecommunication equipment type (HL7)	PH_TelecommunicationEquipmentType_HL7_2x	HL7 v2.8.2	HL70202
MD	Modem	Modem		2.16.840.1.113883.12.202	Telecommunication equipment type (HL7)	PH_TelecommunicationEquipmentType_HL7_2x	HL7 v2.8.2	HL70202
SAT	Satellite Phone	Satellite Phone		2.16.840.1.113883.12.202	Telecommunication equipment type (HL7)	PH_TelecommunicationEquipmentType_HL7_2x	HL7 v2.8.2	HL70202
TDD	Telecommunications Device for the Deaf	Telecommunications Device for the Deaf		2.16.840.1.113883.12.202	Telecommunication equipment type (HL7)	PH_TelecommunicationEquipmentType_HL7_2x	HL7 v2.8.2	HL70202
PH	Telephone	Telephone		2.16.840.1.113883.12.202	Telecommunication equipment type (HL7)	PH_TelecommunicationEquipmentType_HL7_2x	HL7 v2.8.2	HL70202
TTY	Teletypewriter	Teletypewriter		2.16.840.1.113883.12.202	Telecommunication equipment type (HL7)	PH_TelecommunicationEquipmentType_HL7_2x	HL7 v2.8.2	HL70202
X.400	X.400 email address: Use Only If Telecommunication Use Code Is NET	X.400 email address: Use Only If Telecommunication Use Code Is		2.16.840.1.113883.12.202	Telecommunication equipment type (HL7)	PH_TelecommunicationEquipmentType_HL7_2x	HL7 v2.8.2	HL70202
