Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Test Method (FDD)	PHVS_TestMethod_FDD	2.16.840.1.114222.4.11.7623	3	Test method answer list.	Published	10/26/2018	Updated valid values

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
FDD_A_15	Alere Giardia/Crypto Quik Chek	Abbott Giardia/Crypto Quik Chek		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
FDD_A_34	Alere Shiga Toxin Quik Chek	Abbott Shiga Toxin Quik Check		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC2136	BD Max Entended Enteric Bacterial	BD Max Entended Enteric Bacterial		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
FDD_A_41	BD Max Enteric	BD Max Enteric Bacterial		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
FDD_A_40	Biofire FilmArray	Biofire FilmArray Gastrointestinal (GI)		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC2134	Biofire Filmarray Blood Culture Identification (BCID)	Biofire Filmarray Blood Culture Identification (BCID)		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC2135	Biofire Filmarray Meningitis/Encephalitis (ME)	Biofire Filmarray Meningitis/Encephalitis (ME)		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
FDD_A_19	ColorPAC Crypto/Giardia (Becton Dickinson)	BD ColorPac Crypto/Giardia		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
FDD_A_29	Crypto CEL (Cellabs)	Cellabs Crypto CEL		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
FDD_A_24	Crypto CELISA (Cellabs)	Cellabs Crypto CELISA		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
FDD_A_30	Crypto/Giardia CEL (Cellabs)	Cellabs Crypto/Giardia CEL		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
FDD_A_42	Diatherix	Diatherix Gastrointestinal		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC2140	Duopath STEC Rapid Test	Merck Duopath STEC Rapid Test		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
FDD_A_36	Duopath Verotoxins (Merck)	Merck Duopath Verotoxins		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
FDD_A_13	ImmunoCard STAT! CAMPY (Meridian)	Meridian ImmunoCard STAT! CAMPY		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
FDD_A_16	ImmunoCard STAT! Crypto/Giardia (Meridian)	Meridian ImmunoCard STAT! Crypto/Giardia		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
FDD_A_35	Immunocard STAT! EHEC (Meridian)	Meridian ImmunoCard STAT! EHEC		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
FDD_A_50	Lab-developed test	Lab-developed test		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
