Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Test Type (Syphilis)	PHVS_TestType_Syphilis	2.16.840.1.114222.4.11.7549	4	Interpretative lab tests associated with Syphilis and includes both treponemal and non-treponemal tests. 	Published	07/10/2020	Addition of new valid values


Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
54230-8	Cell cnt & Diff Pnl with Glu & Prot CSF	Cell count and Diff panel with Gluc and Prot - Cerebral spinal fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
LP69956-8	CSF protein level	CSF protein level		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
LP48341-9	CSF WBC count	CSF WBC count		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6607-6	Dark Field Tiss	Microscopic observation [Identifier] in Tissue by Dark field examination		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
660-1	Dark Field XXX	Microscopic observation [Identifier] in Unspecified specimen by Dark field examination		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6342-0	Deprecated Chlamydia Ab Titr Ser CF	Deprecated Chlamydia sp Ab [Titer] in Serum by Complement fixation		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6660-5	Deprecated Dark Field Tiss	Deprecated Microscopic observation [Identifier] in Tissue by Dark field examination		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22588-8	Deprecated T pallidum Ab SerPl Ql	Deprecated Treponema pallidum Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22589-6	Deprecated T pallidum Ab SerPl-aCnc	Deprecated Treponema pallidum Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22591-2	Deprecated T pallidum IgG SerPl Ql	Deprecated Treponema pallidum IgG Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
