Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Tobacco Use	PHVS_TobaccoUse	2.16.840.1.113883.11.20.9.41	1	Contains values descending from the SNOMED CT® Finding of tobacco use and exposure (finding) (365980008) hierarchy.	Published	04/01/2015	v1

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
81703003	Chews tobacco (finding)	Chews tobacco		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
59978006	Cigar smoker (finding)	Cigar smoker		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
65568007	Cigarette smoker (finding)	Cigarette smoker		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
228524006	Exposed to tobacco smoke at home (finding)	Exposed to tobacco smoke at home		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
428061000124105	Light tobacco smoker (finding)	Light tobacco smoker		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
427189007	Maternal tobacco use (finding)	Maternal tobacco use		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
43381005	Passive smoker (finding)	Passive smoker		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
137998001	Pipe smoker (finding)	Pipe smoker		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
160619003	Rolls own cigarettes (finding)	Rolls own cigarettes		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
228494002	Snuff user (finding)	Snuff user		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
394871007	Thinking about stopping smoking (finding)	Thinking about stopping smoking		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
