Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Toxoplasmosis (NCHS)	PHVS_Toxoplasmosis_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.169	3	To Reflect infection with Parvovirus	Published	09/24/2014	Initial Import for : EF721EF7-69C4-DF11-AB08-0015173D1785

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
187192000	Toxoplasmosis 	Toxoplasmosis 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
16116004	Acute lymphadenopathic toxoplasmosis 	Acute lymphadenopathic toxoplasmosis 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
17681007	Hepatitis due to acquired toxoplasmosis 	Hepatitis due to acquired toxoplasmosis 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
17949000	Meningoencephalitis due to acquired toxoplasmosis 	Meningoencephalitis due to acquired toxoplasmosis 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
22540004	Multisystemic disseminated toxoplasmosis 	Multisystemic disseminated toxoplasmosis 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
46207001	Pneumonitis due to acquired toxoplasmosis 	Pneumonitis due to acquired toxoplasmosis 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
67372006	Conjunctivitis due to acquired toxoplasmosis  	Conjunctivitis due to acquired toxoplasmosis  		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
73893000	Congenital toxoplasmosis 	Congenital toxoplasmosis 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
76534005	Myocarditis due to acquired toxoplasmosis  	Myocarditis due to acquired toxoplasmosis  		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
88290000	Focal chorioretinitis due to acquired toxoplasmosis 	Focal chorioretinitis due to acquired toxoplasmosis 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
187194004	Toxoplasmosis chorioretinitis  	Toxoplasmosis chorioretinitis  		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
187195003	Toxoplasma myocarditis  	Toxoplasma myocarditis  		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
187196002	Toxoplasma pneumonitis 	Toxoplasma pneumonitis 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
187197006	Toxoplasma hepatitis  	Toxoplasma hepatitis  		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
187199009	Toxoplasmosis of multiple sites 	Toxoplasmosis of multiple sites 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
192701001	Toxoplasma encephalitis 	Toxoplasma encephalitis 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
194948006	Acute myocarditis - toxoplasmosis 	Acute myocarditis - toxoplasmosis 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
240666009	Cutaneous toxoplasmosis 	Cutaneous toxoplasmosis 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
281899002	Congenital hydrocephalus due to toxoplasmosis 	Congenital hydrocephalus due to toxoplasmosis 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
314031009	Acute toxoplasmosis chorioretinitis  	Acute toxoplasmosis chorioretinitis  		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
314032002	Inactive toxoplasmosis chorioretinitis 	Inactive toxoplasmosis chorioretinitis 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
415218004	Punctate outer retinal toxoplasmosis 	Punctate outer retinal toxoplasmosis 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
416481006	Ocular toxoplasmosis  	Ocular toxoplasmosis  		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
416589006	Toxoplasma retinitis  	Toxoplasma retinitis  		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
416913007	Toxoplasma neuroretinitis 	Toxoplasma neuroretinitis 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
421666009	Toxoplasmosis associated with AIDS  	Toxoplasmosis associated with AIDS  		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
441854007	Reactivation of toxoplasmosis chorioretinitis 	Reactivation of toxoplasmosis chorioretinitis 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
