Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Trachoma (NCHS)	PHVS_Trachoma_NCHS	2.16.840.1.114222.4.11.6072	1		Published	06/28/2013	Initial Import for : D97EC59A-2560-E211-9A66-001A4BE7FA90

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
426165006	Acute genitourinary chlamydia infection (disorder)	Acute genitourinary chlamydia infection (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
426247003	Acute genitourinary Chlamydia trachomatis infection (disorder)	Acute genitourinary Chlamydia trachomatis infection (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
314527009	Chlamydia antigen ELISA positive (finding)	Chlamydia antigen ELISA positive (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
413079006	Chlamydia PCR positive (finding) 	Chlamydia PCR positive (finding) 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
240589008	Chlamydia trachomatis infection (disorder) 	Chlamydia trachomatis infection (disorder) 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
420910002	Chlamydia trachomatis infection of anus and rectum (disorder)	Chlamydia trachomatis infection of anus and rectum (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
428015005	Chlamydia trachomatis infection of genital structure (disorder)	Chlamydia trachomatis infection of genital structure (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
237106009	Chlamydial bartholinitis (disorder)	Chlamydial bartholinitis (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
237084006	Chlamydial cervicitis (disorder)	Chlamydial cervicitis (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
237039009	Chlamydial salpingitis (disorder)	Chlamydial salpingitis (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
236683007	Chlamydial urethritis (disorder)	Chlamydial urethritis (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
237097008	Chlamydial vulvovaginitis (disorder) 	Chlamydial vulvovaginitis (disorder) 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
240602008	Early lymphogranuloma venereum (disorder)	Early lymphogranuloma venereum (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
272262003	Esthiomene (disorder)	Esthiomene (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
198176005	Female chlamydial pelvic inflammatory disease (disorder)	Female chlamydial pelvic inflammatory disease (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
312099009	Genitourinary chlamydia infection (disorder)	Genitourinary chlamydia infection (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
266109000	Inclusion conjunctivitis (disorder)	Inclusion conjunctivitis (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
240603003	Late lymphogranuloma venereum (disorder)	Late lymphogranuloma venereum (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
240604009	Latent lymphogranuloma venereum (disorder)	Latent lymphogranuloma venereum (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
186946009	Lymphogranuloma venereum (disorder)	Lymphogranuloma venereum (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
240591000	Neonatal chlamydial conjunctivitis (disorder) 	Neonatal chlamydial conjunctivitis (disorder) 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
276683003	Neonatal inclusion body conjunctivitis (disorder)	Neonatal inclusion body conjunctivitis (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
189312004	Pelvic inflammation with female sterility due to Chlamydia trachomatis (disorder) 	Pelvic inflammation with female sterility due to Chlamydia trachomatis (disorder) 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
2576002	Trachoma (disorder) 	Trachoma (disorder) 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
52812002	Trachoma-active stage (disorder) 	Trachoma-active stage (disorder) 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
29976007	Trachoma-initial stage (disorder)	Trachoma-initial stage (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
27020006	Trachomatous follicular conjunctivitis (disorder)	Trachomatous follicular conjunctivitis (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
90060000	Trachomatous granular conjunctivitis (disorder) 	Trachomatous granular conjunctivitis (disorder) 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
55555001	Trachomatous pannus (disorder) 	Trachomatous pannus (disorder) 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
179101003	Urethritis due to Chlamydia trachomatis (disorder) 	Urethritis due to Chlamydia trachomatis (disorder) 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
415798001	Urine chlamydia trachomatis test positive (finding)	Urine chlamydia trachomatis test positive (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
