Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Type of clinic/location (NCHS)	PHVS_TypeOfClinicLocation_NCHS	2.16.840.1.114222.4.11.7364	1	The kind of place or hospital department where a procedure, treatment, or service may be performed or provided.	Published	09/01/2015	Initial Import for : C18817EA-DC50-E511-BD9F-0017A477041A

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
1162-7	24-Hour observation area	24-Hour Observation Area		2.16.840.1.113883.6.259	NHSN Healthcare Facility Patient Care Location	PH_HealthcareServiceLoc_NHSN	20200617	HSLOC
1210-4	Adult Mixed Acuity Unit	Adult Mixed Acuity Unit		2.16.840.1.113883.6.259	NHSN Healthcare Facility Patient Care Location	PH_HealthcareServiceLoc_NHSN	20200617	HSLOC
1099-1	Adult step down unit [post-critical care]	Adult Step Down Unit (post-critical care)		2.16.840.1.113883.6.259	NHSN Healthcare Facility Patient Care Location	PH_HealthcareServiceLoc_NHSN	20200617	HSLOC
1110-6	Allergy clinic	Allergy Clinic		2.16.840.1.113883.6.259	NHSN Healthcare Facility Patient Care Location	PH_HealthcareServiceLoc_NHSN	20200617	HSLOC
1166-8	Ambulatory surgical setting	Ambulatory Surgery Center		2.16.840.1.113883.6.259	NHSN Healthcare Facility Patient Care Location	PH_HealthcareServiceLoc_NHSN	20200617	HSLOC
1212-0	Any Age Mixed Acuity Unit	Any Age Mixed Acuity Unit		2.16.840.1.113883.6.259	NHSN Healthcare Facility Patient Care Location	PH_HealthcareServiceLoc_NHSN	20200617	HSLOC
1106-4	Assisted living area	Assisted Living Area		2.16.840.1.113883.6.259	NHSN Healthcare Facility Patient Care Location	PH_HealthcareServiceLoc_NHSN	20200617	HSLOC
1145-2	Behavioral health clinic	Behavioral Health Clinic		2.16.840.1.113883.6.259	NHSN Healthcare Facility Patient Care Location	PH_HealthcareServiceLoc_NHSN	20200617	HSLOC
1022-3	Bone marrow transplant unit	Bone Marrow Transplant SCA		2.16.840.1.113883.6.259	NHSN Healthcare Facility Patient Care Location	PH_HealthcareServiceLoc_NHSN	20200617	HSLOC
1026-4	Burn critical care unit	Burn Critical Care		2.16.840.1.113883.6.259	NHSN Healthcare Facility Patient Care Location	PH_HealthcareServiceLoc_NHSN	20200617	HSLOC
