Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Type of Referenced Data (HL7)	PHVS_TypeOfReferencedData_HL7_2x	2.16.840.1.114222.4.11.3345	1	HL7 version 2.x Type of referenced data used in chapter(s) 2; HL7 table 0191	Published	08/14/2010	HL7 v 2.5

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
AU	Audio data (HL7 V2.3 and later)	Audio data (HL7 V2.3 and later)		2.16.840.1.113883.12.191	Type of referenced data (HL7)	PH_TypeOfReferencedData_HL7_2x	HL7 v2.5	HL70191
FT	Formatted text (HL7 V2.2 only)	Formatted text (HL7 V2.2 only)		2.16.840.1.113883.12.191	Type of referenced data (HL7)	PH_TypeOfReferencedData_HL7_2x	HL7 v2.5	HL70191
IM	Image data (HL7 V2.3 and later)	Image data (HL7 V2.3 and later)		2.16.840.1.113883.12.191	Type of referenced data (HL7)	PH_TypeOfReferencedData_HL7_2x	HL7 v2.5	HL70191
TX	Machine readable text document (HL7 V2.2 only)	Machine readable text document (HL7 V2.2 only)		2.16.840.1.113883.12.191	Type of referenced data (HL7)	PH_TypeOfReferencedData_HL7_2x	HL7 v2.5	HL70191
TEXT	Machine readable text document (HL7 V2.3.1 and later)	Machine readable text document (HL7 V2.3.1 and later)		2.16.840.1.113883.12.191	Type of referenced data (HL7)	PH_TypeOfReferencedData_HL7_2x	HL7 v2.5	HL70191
multipart	MIME multipart package	MIME multipart package		2.16.840.1.113883.12.191	Type of referenced data (HL7)	PH_TypeOfReferencedData_HL7_2x	HL7 v2.5	HL70191
NS	Non-scanned image (HL7 V2.2 only)	Non-scanned image (HL7 V2.2 only)		2.16.840.1.113883.12.191	Type of referenced data (HL7)	PH_TypeOfReferencedData_HL7_2x	HL7 v2.5	HL70191
AP	Other application data, typically uninterpreted binary data (HL7 V2.3 and later)	Other application data, typically uninterpreted binary data (HL7 V2.3 and later)		2.16.840.1.113883.12.191	Type of referenced data (HL7)	PH_TypeOfReferencedData_HL7_2x	HL7 v2.5	HL70191
SD	Scanned document (HL7 V2.2 only)	Scanned document (HL7 V2.2 only)		2.16.840.1.113883.12.191	Type of referenced data (HL7)	PH_TypeOfReferencedData_HL7_2x	HL7 v2.5	HL70191
SI	Scanned image (HL7 V2.2 only)	Scanned image (HL7 V2.2 only)		2.16.840.1.113883.12.191	Type of referenced data (HL7)	PH_TypeOfReferencedData_HL7_2x	HL7 v2.5	HL70191
