Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Type of Recreational Drug (HL7)	PHVS_TypeofRecreationalDrug_HL7	2.16.840.1.113883.10.14.1.1.13.9	1	Code to indicate the type of recreational drug the mother has been using during pregnancy. 
	Published	05/21/2020	Code to indicate the type of recreational drug the mother has been using during pregnancy. 


Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
8FU589W85C	.ALPHA.-METHYLFENTANYL	ALPHA.-METHYLFENTANYL		2.16.840.1.113883.4.9	Unique Ingredient Identifier (UNII)	PH_UNII_FDA_SRS	20200327	FDAUNII
NF684LIF79	.ALPHA.-METHYLTHIOFENTANYL	ALPHA.-METHYLTHIOFENTANYL		2.16.840.1.113883.4.9	Unique Ingredient Identifier (UNII)	PH_UNII_FDA_SRS	20200327	FDAUNII
6Q4XAW26T4	.BETA.-HYDROXYFENTANYL	BETA.-HYDROXYFENTANYL		2.16.840.1.113883.4.9	Unique Ingredient Identifier (UNII)	PH_UNII_FDA_SRS	20200327	FDAUNII
MG6JW60TUG	.BETA.-HYDROXYTHIOFENTANYL	BETA.-HYDROXYTHIOFENTANYL		2.16.840.1.113883.4.9	Unique Ingredient Identifier (UNII)	PH_UNII_FDA_SRS	20200327	FDAUNII
T6LN72I828	1-(-2-PHENETHYL)-4-PHENYL-4-ACETOXYPIPERIDINE	4-PIPERIDINOL, 1-PHENETHYL-4-PHENYL-, ACETATE (ESTER)		2.16.840.1.113883.4.9	Unique Ingredient Identifier (UNII)	PH_UNII_FDA_SRS	20200327	FDAUNII
QVU94XE61A	3-METHYLFENTANYL	3-METHYLFENTANYL		2.16.840.1.113883.4.9	Unique Ingredient Identifier (UNII)	PH_UNII_FDA_SRS	20200327	FDAUNII
C9C204973M	3-METHYLTHIOFENTANYL	3-METHYLTHIOFENTANYL		2.16.840.1.113883.4.9	Unique Ingredient Identifier (UNII)	PH_UNII_FDA_SRS	20200327	FDAUNII
30IW36W5B2	4-HYDROXYBUTANOIC ACID	GAMMA-HYDROXYBUTYRIC ACID		2.16.840.1.113883.4.9	Unique Ingredient Identifier (UNII)	PH_UNII_FDA_SRS	20200327	FDAUNII
0O1GKW2BQO	ACETYL-.ALPHA.-METHYLFENTANYL	ACETYL-.ALPHA.-METHYLFENTANYL		2.16.840.1.113883.4.9	Unique Ingredient Identifier (UNII)	PH_UNII_FDA_SRS	20200327	FDAUNII
SGY1T84P34	ACETYLDIHYDROCODEINE	ACETYLDIHYDROCODEINE		2.16.840.1.113883.4.9	Unique Ingredient Identifier (UNII)	PH_UNII_FDA_SRS	20200327	FDAUNII
6DZ28538KS	ACETYLFENTANYL	ACETYLFENTANYL		2.16.840.1.113883.4.9	Unique Ingredient Identifier (UNII)	PH_UNII_FDA_SRS	20200327	FDAUNII
YU55MQ3IZY	ALPRAZOLAM	ALPRAZOLAM		2.16.840.1.113883.4.9	Unique Ingredient Identifier (UNII)	PH_UNII_FDA_SRS	20200327	FDAUNII
