Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Type of Twin (HL7)	PHVS_TypeofTwin_CDC	2.16.840.1.113883.10.14.1.1.13.10	1	Code to identify type of twin.	Published	09/06/2017	Code to identify type of twin.

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
70013003	Asymmetrical conjoined twins	Asymmetrical conjoined twins		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
41337007	Conjoined twins	Conjoined twins		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
111440002	Conjoined twins causing disproportion	Conjoined twins causing disproportion		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
74516008	Craniopagus	Craniopagus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
72957006	Diamniotic-monochorionic twins	Diamniotic-monochorionic twins		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
205777005	Diaxial (double) monster	Diaxial (double) monster		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
85445006	Dicephalus dipus tetrabrachius	Dicephalus dipus tetrabrachius		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
43452005	Double monster	Double monster		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
313416000	Fraternal twin	Fraternal twin		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
113158006	Fraternal twin sibling (person)	Fraternal twin sibling (person)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
29644004	Fraternal twin sister (person)	Fraternal twin sister (person)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
313415001	Identical twin	Identical twin		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
78194006	Identical twin brother (person)	Identical twin brother (person)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
10896006	Identical twin sibling (person)	Identical twin sibling (person)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
50058005	Identical twin sister (person)	Identical twin sister (person)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
69777007	Interlocked twins	Interlocked twins		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
199787003	Locked twins - delivered	Locked twins - delivered		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
2256007	Monozygotic twins	Monozygotic twins		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
75617000	Omphalopagus	Omphalopagus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
25192009	Premature birth of fraternal twins, both living	Premature birth of fraternal twins, both living		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
84382006	Premature birth of fraternal twins, both stillborn	Premature birth of fraternal twins, both stillborn		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
30165006	Premature birth of fraternal twins, one living, one stillborn	Premature birth of fraternal twins, one living, one stillborn		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
34100008	Premature birth of identical twins, both living	Premature birth of identical twins, both living		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
3798002	Premature birth of identical twins, both stillborn	Premature birth of identical twins, both stillborn		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
54650005	Premature birth of stillborn twins	Premature birth of stillborn twins		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
70642007	Pygopagus	Pygopagus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
22816001	Superfecundation	Superfecundation		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
91271004	Superfetation	Superfetation		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
76089002	Symmetrical conjoined twins	Symmetrical conjoined twins		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
254258009	Synchephalus twins	Synchephalus twins		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
87662006	Term birth of fraternal twins, both living	Term birth of fraternal twins, both living		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
83121003	Term birth of fraternal twins, both stillborn	Term birth of fraternal twins, both stillborn		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
22514005	Term birth of fraternal twins, one living, one stillborn	Term birth of fraternal twins, one living, one stillborn		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
15467003	Term birth of identical twins, both living	Term birth of identical twins, both living		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
