Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Underlying Condition (RIBD)	PHVS_UnderlyingConditions_RIBD	2.16.840.1.114222.4.11.7681	2	Underlying causes or prior illnesses.
	Published	08/19/2018	added former smoker

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
62479008	Acquired immune deficiency syndrome (disorder)	AIDS		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
15167005	Alcohol abuse (disorder)	Alcohol abuse		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
195967001	Asthma (disorder)	Asthma		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
PHC1922	Blood Cancer	Blood Cancer		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
247442005	Broken skin (disorder)	Broken skin		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
PHC1925	Cancer Treatment	Cancer Treatment		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
230744007	Cerebrospinal fluid leak (disorder)	Cerebrospinal fluid leak		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
230690007	Cerebrovascular accident (disorder)	Cerebrovascular accident		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
17097001	chronic disease of respiratory system (disorder)	Chronic respiratory disease		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
128302006	Chronic hepatitis C (disorder)	Chronic hepatitis C		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
PHC280	Cirrhosis and or liver failure	Cirrhosis/liver failure		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
43252007	Cochlear prosthesis, device (physical object)	Cochlear prosthesis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
257277002	Combined disorder of muscle AND peripheral nerve (disorder)	Neuromuscular disorder		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
24743004	Complement deficiency disease (disorder)	Complement deficiency disease		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
42343007	Congestive heart failure (disorder)	Congestive heart failure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
53741008	Coronary arteriosclerosis (disorder)	Coronary arteriosclerosis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
79440004	Corticoid preparation (product)	Corticosteroids		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
PHC1923	Current Chronic Dialysis	Current Chronic Dialysis		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC278	Deaf and or profound hearing loss	deaf/profound hearing loss		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
52448006	Dementia (disorder)	Dementia		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
73211009	Diabetes mellitus (disorder)	Diabetes mellitus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
105969002	Disorder of connective tissue (disorder)	Connective Tissue Disorder		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
40739000	Dysphagia (disorder)	Trouble swallowing		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
PHC279	Emphysema and or chronic obstructive pulmonary disease	emphysema/COPD		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
8517006	Ex-smoker (finding)	Former Smoker		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
118599009	Hodgkin's disease (disorder)	Hodgkin's disease (clinical)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
86406008	Human immunodeficiency virus infection (disorder)	HIV infection		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
417167007	Immunoglobulin deficiency (disorder)	Immunoglobulin deficiency		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
86553008	Immunosuppressive therapy (procedure)	Immunosuppressive therapy		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
228388006	Intravenous drug user (finding)	Intravenous drug user		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
90708001	Kidney disease (disorder)	Kidney disease		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
93143009	Leukemia, disease (disorder)	Leukemia		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
363346000	Malignant neoplastic disease (disorder)	Cancer		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
109989006	Multiple myeloma (disorder)	Multiple myeloma		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
24700007	Multiple sclerosis (disorder)	Multiple sclerosis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
22298006	Myocardial infarction (disorder)	Myocardial infarction		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
52254009	Nephrotic syndrome (disorder)	Nephrotic syndrome		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
260413007	None (qualifier value)	None		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
414916001	Obesity (disorder)	Obesity		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
OTH	other	other		2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
44695005	Paralysis (finding)	Paralysis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
49049000	Parkinson's disease (disorder)	Parkinson's disease		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
13200003	Peptic ulcer (disorder)	Peptic ulcer		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
302226006	Peripheral nerve disease (disorder)	Peripheral Neuropathy		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
400047006	Peripheral vascular disease (disorder)	Peripheral vascular disease		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
367494004	Premature birth of newborn (finding)	Premature Birth		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
PHC281	Renal failure and/or dialysis	renal failure/dialysis		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
128613002	Seizure disorder (disorder)	Seizure disorder		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
16402000	Sickle cell trait (disorder)	Sickle cell trait		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
77176002	Smoker (finding)	Current Smoker		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
PHC923	Solid Organ Malignancy	Solid Organ Malignancy		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
313039003	Solid organ transplant (procedure)	Solid organ transplant		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
300564004	Spleen absent (finding)	Missing spleen		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
PHC282	Splenectomy or asplenia	splenectomy/asplenia		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
55464009	Systemic lupus erythematosus (disorder)	Systemic lupus erythematosus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
23719005	Transplantation of bone marrow (procedure)	Bone Marrow Transplant		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
UNK	Unknown	Unknown	ZZ	2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
