Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Unit of Measure (TB)	PHVS_UnitofMeasure_TB	2.16.840.1.114222.4.11.7819	1	Units of measure for the Quantitative Test Result Value	Published	05/09/2018	Units of measure for the Quantitative Test Result Value

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
{cells}/uL	cells per microliter	cells per microliter		2.16.840.1.113883.6.8	UCUM - Unified Code for Units of Measure	PH_UnitsOfMeasure_UCUM	20171130	UCUM
U/g	enzyme unit per gram	enzyme unit per gram		2.16.840.1.113883.6.8	UCUM - Unified Code for Units of Measure	PH_UnitsOfMeasure_UCUM	20171130	UCUM
g	gram	gram		2.16.840.1.113883.6.8	UCUM - Unified Code for Units of Measure	PH_UnitsOfMeasure_UCUM	20171130	UCUM
g/dL	gram per deciliter	gram per deciliter		2.16.840.1.113883.6.8	UCUM - Unified Code for Units of Measure	PH_UnitsOfMeasure_UCUM	20171130	UCUM
g/L	gram per liter	gram per liter		2.16.840.1.113883.6.8	UCUM - Unified Code for Units of Measure	PH_UnitsOfMeasure_UCUM	20171130	UCUM
[IU]/L	international unit per liter	international unit per liter		2.16.840.1.113883.6.8	UCUM - Unified Code for Units of Measure	PH_UnitsOfMeasure_UCUM	20171130	UCUM
ug	microgram	microgram		2.16.840.1.113883.6.8	UCUM - Unified Code for Units of Measure	PH_UnitsOfMeasure_UCUM	20171130	UCUM
ug/dL	microgram per deciliter	microgram per deciliter		2.16.840.1.113883.6.8	UCUM - Unified Code for Units of Measure	PH_UnitsOfMeasure_UCUM	20171130	UCUM
ug/L	microgram per liter	microgram per liter		2.16.840.1.113883.6.8	UCUM - Unified Code for Units of Measure	PH_UnitsOfMeasure_UCUM	20171130	UCUM
uL	microliter	microliter		2.16.840.1.113883.6.8	UCUM - Unified Code for Units of Measure	PH_UnitsOfMeasure_UCUM	20171130	UCUM
umol/dL	micromole per deciliter	micromole per deciliter		2.16.840.1.113883.6.8	UCUM - Unified Code for Units of Measure	PH_UnitsOfMeasure_UCUM	20171130	UCUM
umol/L	micromole per liter	micromole per liter		2.16.840.1.113883.6.8	UCUM - Unified Code for Units of Measure	PH_UnitsOfMeasure_UCUM	20171130	UCUM
mU/g	millienzyme Unit per gram	millienzyme Unit per gram		2.16.840.1.113883.6.8	UCUM - Unified Code for Units of Measure	PH_UnitsOfMeasure_UCUM	20171130	UCUM
mU/L	millienzyme Unit per liter	millienzyme Unit per liter		2.16.840.1.113883.6.8	UCUM - Unified Code for Units of Measure	PH_UnitsOfMeasure_UCUM	20171130	UCUM
meq	milliequivalent	milliequivalent		2.16.840.1.113883.6.8	UCUM - Unified Code for Units of Measure	PH_UnitsOfMeasure_UCUM	20171130	UCUM
meq/L	milliequivalent per liter	milliequivalent per liter		2.16.840.1.113883.6.8	UCUM - Unified Code for Units of Measure	PH_UnitsOfMeasure_UCUM	20171130	UCUM
mg	milligram	milligram		2.16.840.1.113883.6.8	UCUM - Unified Code for Units of Measure	PH_UnitsOfMeasure_UCUM	20171130	UCUM
mg/dL	milligram per deciliter	milligram per deciliter		2.16.840.1.113883.6.8	UCUM - Unified Code for Units of Measure	PH_UnitsOfMeasure_UCUM	20171130	UCUM
mg/L	milligram per liter	milligram per liter		2.16.840.1.113883.6.8	UCUM - Unified Code for Units of Measure	PH_UnitsOfMeasure_UCUM	20171130	UCUM
mL	milliliter	milliliter		2.16.840.1.113883.6.8	UCUM - Unified Code for Units of Measure	PH_UnitsOfMeasure_UCUM	20171130	UCUM
mm	millimeter	millimeter		2.16.840.1.113883.6.8	UCUM - Unified Code for Units of Measure	PH_UnitsOfMeasure_UCUM	20171130	UCUM
mmol	millimole	millimole		2.16.840.1.113883.6.8	UCUM - Unified Code for Units of Measure	PH_UnitsOfMeasure_UCUM	20171130	UCUM
mmol/L	millimole per liter	millimole per liter		2.16.840.1.113883.6.8	UCUM - Unified Code for Units of Measure	PH_UnitsOfMeasure_UCUM	20171130	UCUM
mosm/kg	milliosmole per kilogram	milliosmole per kilogram		2.16.840.1.113883.6.8	UCUM - Unified Code for Units of Measure	PH_UnitsOfMeasure_UCUM	20171130	UCUM
ng/dL	nanogram per deciliter	nanogram per deciliter		2.16.840.1.113883.6.8	UCUM - Unified Code for Units of Measure	PH_UnitsOfMeasure_UCUM	20171130	UCUM
ng/L	nanogram per liter	nanogram per liter		2.16.840.1.113883.6.8	UCUM - Unified Code for Units of Measure	PH_UnitsOfMeasure_UCUM	20171130	UCUM
ng/mL	nanogram per millliiter	nanogram per millliiter		2.16.840.1.113883.6.8	UCUM - Unified Code for Units of Measure	PH_UnitsOfMeasure_UCUM	20171130	UCUM
nmol	nanomole	nanomole		2.16.840.1.113883.6.8	UCUM - Unified Code for Units of Measure	PH_UnitsOfMeasure_UCUM	20171130	UCUM
nmol/L	nanomole per liter	nanomole per liter		2.16.840.1.113883.6.8	UCUM - Unified Code for Units of Measure	PH_UnitsOfMeasure_UCUM	20171130	UCUM
%	percent	percent		2.16.840.1.113883.6.8	UCUM - Unified Code for Units of Measure	PH_UnitsOfMeasure_UCUM	20171130	UCUM
{titer}	titer	titer		2.16.840.1.113883.6.8	UCUM - Unified Code for Units of Measure	PH_UnitsOfMeasure_UCUM	20171130	UCUM
