Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Vaccination Contraindication (IIS)	PHVS_VaccinationContraindication_IIS	2.16.840.1.114222.4.11.3288	1	Indicates a contraindication to vaccination.	Published	09/06/2010	HL7 2.5.1 Immunization IG - Release 1.1

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
VXC30	allergy (anaphylactic)  to proteins of rodent or neural origin	allergy (anaphylactic)  to proteins of rodent or neural origin		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
VXC17	allergy (anaphylactic) to 2-phenoxyethanol	allergy (anaphylactic) to 2-phenoxyethanol		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
402306009	Allergy to aluminum (disorder)	Allergy to aluminum (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
VXC18	allergy to baker's yeast (anaphylactic)	allergy to baker's yeast (anaphylactic)		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
91930004	Allergy to eggs (disorder)	Allergy to eggs (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
VXC20	allergy to previous dose of this vaccine or to any of its unlisted vaccine components (anaphylactic)	allergy to previous dose of this vaccine or to any of its unlisted vaccine components (anaphylactic)		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
VXC19	allergy to thimerosal (anaphylactic)	allergy to thimerosal (anaphylactic)		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
27624003	Chronic disease (disorder)	Chronic disease (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
VXC24	current acute illness, moderate to severe (with or without fever) (e.g., diarrhea, otitis media, vomiting)	current acute illness, moderate to severe (with or without fever) (e.g., diarrhea, otitis media, vomiting)		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
VXC23	current fever with moderate-to-severe illness	current fever with moderate-to-severe illness		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
VXC22	encephalopathy within 7 days of previous dose of DTP or DTaP	encephalopathy within 7 days of previous dose of DTP or DTaP		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
294847001	Gelatin allergy (disorder)	Gelatin allergy (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
161461006	History of - purpura (situation)	History of - purpura (situation)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
VXC25	History of Arthus hypersensitivity reaction to a tetanus-containing vaccine administered < 10 yrs previously	History of Arthus hypersensitivity reaction to a tetanus-containing vaccine administered < 10 yrs previously		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
VXC27	immunodeficiency due to any cause, including HIV (hematologic and solid tumors, congenital immunodeficiency, long-term immunosuppressive therapy, including steroids)	immunodeficiency due to any cause, including HIV (hematologic and solid tumors, congenital immunodeficiency, long-term immunosuppressive therapy, including steroids)		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
300916003	Latex allergy (disorder)	Latex allergy (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
294468006	Neomycin allergy (disorder)	Neomycin allergy (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
77386006	Patient currently pregnant (finding)	Patient currently pregnant (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
294530006	Polymyxin B allergy (disorder)	Polymyxin B allergy (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
VXC21	Previous history of intussusception	Previous history of intussusception		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
294466005	Streptomycin allergy (disorder)	Streptomycin allergy (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
302215000	Thrombocytopenic disorder (disorder)	Thrombocytopenic disorder (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
VXC26	underlying unstable, evolving neurologic disorders, (including seizure disorders, cerebral palsy, and developmental delay)	underlying unstable, evolving neurologic disorders, (including seizure disorders, cerebral palsy, and developmental delay)		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
