Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Vaccine Event Information Source (NND)	PHVS_VaccineEventInformationSource_NND	2.16.840.1.114222.4.11.7450	3	Identifies the source of information for this immunization record or, more generically, whether the immunization being reported has just been administered (new) or came from other records (historical) 	Published	05/29/2019	Added new values: Primary Care Provider and Medical Chart

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
184225006	Computer record of patient (record artifact)	Medical record		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
06	Historical information - from birth certificate	Historical information - from birth certificate		2.16.840.1.114222.4.5.293	Immunization Information Source	PH_ImmunizationInformationSource_NIP	20100815	NIP001
02	Historical information - from other provider	Historical information - from other provider		2.16.840.1.114222.4.5.293	Immunization Information Source	PH_ImmunizationInformationSource_NIP	20100815	NIP001
05	Historical information - from other registry	Historical information - from other registry		2.16.840.1.114222.4.5.293	Immunization Information Source	PH_ImmunizationInformationSource_NIP	20100815	NIP001
PHC1435	Historical information - from patient or parent's recall	Historical information - from patient or parent's recall		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC1436	Historical information - from patient or parent's written record	Historical information - from patient or parent's written record		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
08	Historical information - from public agency	Historical information - from public agency		2.16.840.1.114222.4.5.293	Immunization Information Source	PH_ImmunizationInformationSource_NIP	20100815	NIP001
07	Historical information - from school record	Historical information - from school record		2.16.840.1.114222.4.5.293	Immunization Information Source	PH_ImmunizationInformationSource_NIP	20100815	NIP001
01	Historical information - source unspecified	Historical information - source unspecified		2.16.840.1.114222.4.5.293	Immunization Information Source	PH_ImmunizationInformationSource_NIP	20100815	NIP001
PHC1936	Immunization Information System	Immunization Information System		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
00	New immunization record	New immunization record		2.16.840.1.114222.4.5.293	Immunization Information Source	PH_ImmunizationInformationSource_NIP	20100815	NIP001
OTH	other	other		2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
PP	Primary Care Provider	Primary Care Provider		2.16.840.1.113883.12.443	Provider Role (HL7)	PH_ProviderRole	2.5.1	HL70443
UNK	unknown	unknown	ZZ	2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
