Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Value Type (ELR)	PHVS_ValueType_ELR	2.16.840.1.114222.4.11.6064	1	list of formats from HL7 table 0125 of the observation value in OBX-3 constrained for ELR	Published	09/06/2012	First version

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
CE	Coded Entry	Coded Entry		2.16.840.1.113883.12.125	Value type (HL7)	PH_ValueType_HL7_2x	HL7 v2.8.2	HL70125
CWE	Coded With Exceptions	Coded With Exceptions		2.16.840.1.113883.12.125	Value type (HL7)	PH_ValueType_HL7_2x	HL7 v2.8.2	HL70125
DT	Date	Date		2.16.840.1.113883.12.125	Value type (HL7)	PH_ValueType_HL7_2x	HL7 v2.8.2	HL70125
ED	Encapsulated Data	Encapsulated Data		2.16.840.1.113883.12.125	Value type (HL7)	PH_ValueType_HL7_2x	HL7 v2.8.2	HL70125
CX	Extended Composite ID With Check Digit	Extended Composite ID With Check Digit		2.16.840.1.113883.12.125	Value type (HL7)	PH_ValueType_HL7_2x	HL7 v2.8.2	HL70125
FT	Formatted Text (Display)	Formatted Text (Display)		2.16.840.1.113883.12.125	Value type (HL7)	PH_ValueType_HL7_2x	HL7 v2.8.2	HL70125
NM	Numeric	Numeric		2.16.840.1.113883.12.125	Value type (HL7)	PH_ValueType_HL7_2x	HL7 v2.8.2	HL70125
RP	Reference Pointer	Reference Pointer		2.16.840.1.113883.12.125	Value type (HL7)	PH_ValueType_HL7_2x	HL7 v2.8.2	HL70125
ST	String Data.	String Data.		2.16.840.1.113883.12.125	Value type (HL7)	PH_ValueType_HL7_2x	HL7 v2.8.2	HL70125
SN	Structured Numeric	Structured Numeric		2.16.840.1.113883.12.125	Value type (HL7)	PH_ValueType_HL7_2x	HL7 v2.8.2	HL70125
TX	Text Data (Display)	Text Data (Display)		2.16.840.1.113883.12.125	Value type (HL7)	PH_ValueType_HL7_2x	HL7 v2.8.2	HL70125
TM	Time	Time		2.16.840.1.113883.12.125	Value type (HL7)	PH_ValueType_HL7_2x	HL7 v2.8.2	HL70125
TS	Time Stamp (Date & Time)	Time Stamp (Date & Time)		2.16.840.1.113883.12.125	Value type (HL7)	PH_ValueType_HL7_2x	HL7 v2.8.2	HL70125
