Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Value Type (HL7) (PHLIP)	PHVS_ValueType_PHLIP	2.16.840.1.114222.4.11.5006	1		Published	06/02/2011	starterset for ETOR

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
CWE	Coded With Exceptions	Coded With Exceptions		2.16.840.1.113883.12.125	Value type (HL7)	PH_ValueType_HL7_2x	HL7 v2.8.2	HL70125
DT	Date	Date		2.16.840.1.113883.12.125	Value type (HL7)	PH_ValueType_HL7_2x	HL7 v2.8.2	HL70125
XAD	Extended Address	Extended Address		2.16.840.1.113883.12.125	Value type (HL7)	PH_ValueType_HL7_2x	HL7 v2.8.2	HL70125
CX	Extended Composite ID With Check Digit	Extended Composite ID With Check Digit		2.16.840.1.113883.12.125	Value type (HL7)	PH_ValueType_HL7_2x	HL7 v2.8.2	HL70125
XON	Extended Composite Name And Number For Organizations	Extended Composite Name And Number For Organizations		2.16.840.1.113883.12.125	Value type (HL7)	PH_ValueType_HL7_2x	HL7 v2.8.2	HL70125
XCN	Extended Composite Name And Number For Persons	Extended Composite Name And Number For Persons		2.16.840.1.113883.12.125	Value type (HL7)	PH_ValueType_HL7_2x	HL7 v2.8.2	HL70125
XPN	Extended Person Name	Extended Person Name		2.16.840.1.113883.12.125	Value type (HL7)	PH_ValueType_HL7_2x	HL7 v2.8.2	HL70125
XTN	Extended Telecommunications Number	Extended Telecommunications Number		2.16.840.1.113883.12.125	Value type (HL7)	PH_ValueType_HL7_2x	HL7 v2.8.2	HL70125
FT	Formatted Text (Display)	Formatted Text (Display)		2.16.840.1.113883.12.125	Value type (HL7)	PH_ValueType_HL7_2x	HL7 v2.8.2	HL70125
NM	Numeric	Numeric		2.16.840.1.113883.12.125	Value type (HL7)	PH_ValueType_HL7_2x	HL7 v2.8.2	HL70125
ST	String Data.	String Data.		2.16.840.1.113883.12.125	Value type (HL7)	PH_ValueType_HL7_2x	HL7 v2.8.2	HL70125
SN	Structured Numeric	Structured Numeric		2.16.840.1.113883.12.125	Value type (HL7)	PH_ValueType_HL7_2x	HL7 v2.8.2	HL70125
TX	Text Data (Display)	Text Data (Display)		2.16.840.1.113883.12.125	Value type (HL7)	PH_ValueType_HL7_2x	HL7 v2.8.2	HL70125
TM	Time	Time		2.16.840.1.113883.12.125	Value type (HL7)	PH_ValueType_HL7_2x	HL7 v2.8.2	HL70125
DTM	Time Stamp (Date & Time)	Time Stamp (Date & Time)		2.16.840.1.113883.12.125	Value type (HL7)	PH_ValueType_HL7_2x	HL7 v2.8.2	HL70125
