Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Vibrio Culture Species (BIDS)	PHVS_VibrioCultureSpecies_BIDS	2.16.840.1.114222.4.11.7179	1	Defines Vibrio Culture Species of interest	Published	11/08/2013	Initial Import for : 833E62B3-7448-E311-8CC9-0017A477041A

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
433669003	Grimontia hollisae	Vibrio hollisae		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
OTH	other	Other		2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
387798006	Photobacterium damselae	Vibrio damsela		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
45749000	Vibrio alginolyticus	Vibrio alginolyticus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
125048009	Vibrio cholerae serogroup O139	Vibrio cholerae serogroup O:139		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
415819003	Vibrio cholerae, non-O1/non-O139	Vibrio cholerae non-O1/non-O139		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
62987004	Vibrio cholerae, O1	Vibrio cholerae, O1		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
36764009	Vibrio cincinnatiensis	Vibrio cincinnatiensis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
43199008	Vibrio fluvialis	Vibrio fluvialis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
6387008	Vibrio furnissii	Vibrio furnissii		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
84003007	Vibrio harveyi	Vibrio harveyi		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
28382009	Vibrio metschnikovii	Vibrio metschnikovii		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
11776003	Vibrio mimicus	Vibrio mimicus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
11736008	Vibrio parahaemolyticus	Vibrio parahaemolyticus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
131373001	Vibrio species	Vibrio species		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
55905000	Vibrio vulnificus	Vibrio vulnificus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
