Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Vibrio Species (FDD)	PHVS_VibrioSpecies_FDD	2.16.840.1.114222.4.11.7643	5	Vibrio species answer list for FDD MMG	Published	11/08/2018	Added and removed values from the value set

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
34872001	Genus Vibrio (organism)	Vibrio species		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
433669003	Grimontia hollisae (organism)	Grimontia HOLLISAE		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
427593005	Listonella anguillarum (organism)	Vibrio anguillarum		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
387799003	Photobacterium damselae subsp damselae (organism)	Photobacterium damselae susp. Damselae		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
115050000	Photobacterium fischeri (organism)	Vibrio fischeri		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
45749000	Vibrio alginolyticus (organism)	Vibrio ALGINOLYTICUS		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
90557000	Vibrio campbellii (organism)	Vibrio campbellii		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
75953000	Vibrio cholerae (organism)	Vibrio cholerae, serogroup not specified		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
125048009	Vibrio cholerae serogroup O139 (organism)	Vibrio CHOLERAE O139		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
715335005	Vibrio cholerae serogroup O141 (organism)	Vibrio cholerae O141		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
450598001	Vibrio cholerae serogroup O75 (organism)	Vibrio CHOLERAE O75		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
398506000	Vibrio cholerae, non-O1 (organism)	Vibrio CHOLERAE NON-O1		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
415819003	Vibrio cholerae, non-O1/non-O139 (organism)	Vibrio CHOLERAE NON-O1, NON-O139		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
415820009	Vibrio cholerae, non-O139 (organism)	Vibrio cholerae non-O139		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
62987004	Vibrio cholerae, O1 (organism)	Vibrio CHOLERAE O1		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
PLR703	Vibrio cidicii (organism)	Vibrio cidicii		2.16.840.1.114222.4.5.289	Lab Result (PHLIP)	PH_LabResult_PHLIP	1.33	PLR
36764009	Vibrio cincinnatiensis (organism)	Vibrio CINCINNATIENSIS		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
49525008	Vibrio diazotrophicus (organism)	Vibrio diazotrophicus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
43199008	Vibrio fluvialis (organism)	Vibrio FLUVIALIS		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
6387008	Vibrio furnissii (organism)	Vibrio FURNISSII		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
84003007	Vibrio harveyi (organism)	Vibrio HARVEYI		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
FDD_A_498	Vibrio metoecus	Vibrio metoecus		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
28382009	Vibrio metschnikovii (organism)	Vibrio METSCHNIKOVII		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
11776003	Vibrio mimicus (organism)	Vibrio MIMICUS		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
115060009	Vibrio mytili (organism)	Vibrio mytili		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
115061008	Vibrio navarrensis (organism)	Vibrio navarrensis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
PHC1512	Vibrio Other	Vibrio Other		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
11736008	Vibrio parahaemolyticus (organism)	Vibrio PARAHAEMOLYTICUS		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
438332009	Vibrio ponticus (organism)	Vibrio ponticus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
71296005	Vibrio tubiashii (organism)	Vibrio tubiashii		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
55905000	Vibrio vulnificus (organism)	Vibrio VULNIFICUS		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
