Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Virus Type (Arboviral Disease)	PHVS_VirusType_ArboviralDisease	2.16.840.1.114222.4.11.3063	8	Virus types answer list specific to Arbovirus/ArboNet reporting. Used with ARB001 data element in Arboviral MMG v1 guide.	Published	01/21/2016	Updated to add additional Virus types: Bourbon virus, Alkhurma virus, and Heartland virus 

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
764949001	Alkhurma virus (organism)	Alkhurma virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
281165003	Arbovirus (organism)	Arbovirus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
56932004	Barmah Forest virus (organism)	Barmah Forest virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
764948009	Bourbon virus (organism)	Bourbon virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
31546004	Cache Valley virus (organism)	Cache Valley virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
64979004	California encephalitis virus (organism)	California encephalitis virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
243617008	California serogroup Orthobunyavirus (organism)	California serogroup virus, non-specified		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
2423009	Chikungunya virus (organism)	Chikungunya virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
34212000	Colorado tick fever virus (organism)	Colorado tick fever virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
34348001	Dengue virus (organism)	Dengue virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
243601002	Eastern equine encephalitis virus (organism)	Eastern equine encephalitis virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
28375005	Genus Flavivirus (organism)	Flavivirus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
764947004	Heartland virus (organism)	Heartland virus      		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
588234111000087104	Highlands J virus (organism)	Highlands J virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
9194001	Jamestown Canyon virus (organism)	Jamestown Canyon virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
243603004	Japanese encephalitis virus (organism)	Japanese encephalitis virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
61399004	Keystone virus (organism)	Keystone virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
32137001	Kyasanur Forest disease virus (organism)	Kyasanur Forest disease virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
30434006	La Crosse virus (organism)	La Crosse virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
19874008	Mayaro virus (organism)	Mayaro virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
31989009	Murray Valley encephalitis virus (organism)	Murray Valley encephalitis virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
8905000	O'nyong-nyong virus (organism)	O'nyong-nyong virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
33660003	Oropouche virus (organism)	Oropouche virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
45838003	Powassan virus (organism)	Powassan virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
28335002	Rift Valley fever virus (organism)	Rift Valley fever virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
71518008	Rocio virus (organism)	Rocio virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
32458000	Ross River virus (organism)	Ross River virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
58432001	Saint Louis encephalitis virus (organism)	Saint Louis encephalitis virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
30681002	Sindbis virus (organism)	Sindbis virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
28732002	Snowshoe hare virus (organism)	Snowshoe hare virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
6895004	Tahyna virus (organism)	Tahyna virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
32323003	Tick-borne encephalitis virus (organism)	Tick-borne encephalitis virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
51253001	Toscana virus (organism)	Toscana virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
87919008	Trivittatus virus (organism)	Trivittatus virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
85183000	Usutu virus (organism)	Usutu virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
62958000	Venezuelan equine encephalomyelitis virus (organism)	Venezuelan equine encephalitis virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
57311007	West Nile virus (organism)	West Nile virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
11428003	Western equine encephalomyelitis virus (organism)	Western equine encephalitis virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
26630006	Yellow fever virus (organism)	Yellow fever virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
50471002	Zika virus (organism)	Zika virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
