Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Virus Variant Type (Animal Rabies)	PHVS_VirusVariantType_AnimalRabies	2.16.840.1.114222.4.11.3067	2	Animal rabies virus variant type answer list	Published	10/22/2008	v2

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
C1270263	Alopex	Arctic Fox		2.16.840.1.113883.6.86	UMLS	PH_UMLS	20200301	UML
PHC650	Arizona Gray Fox	Arizona Gray Fox		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC1255	Bat - Migratory	Bat - Migratory		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC1254	Bat - Resident	Bat - Resident		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC652	Bat Variant	Bat (specify if possible)		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC648	California Skunk	California Skunk		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
C0008139	Chiroptera	Bat		2.16.840.1.113883.6.86	UMLS	PH_UMLS	20200301	UML
C0325005	Coyotes	Coyote		2.16.840.1.113883.6.86	UMLS	PH_UMLS	20200301	UML
PHC1253	Dog / Coyote - Texas	Dog / Coyote - Texas		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC649	Eastern Raccoon	Eastern Raccoon		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC1252	Fox - New England	Fox - New England		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
C0026413	Herpestidae	Mongoose		2.16.840.1.113883.6.86	UMLS	PH_UMLS	20200301	UML
PHC646	North Central Skunk	North Central Skunk		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
OTH	other	Other (specify)		2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
PHC647	South Central Skunk	South Central Skunk		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC651	Texas Gray Fox	Texas Gray Fox		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
