Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
VPD Specimen Reject Reason	SpecimenRejectReasonVPD	2.16.840.1.114222.4.11.7110	1	to use in VPD project	Published	06/07/2013	initial set

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
281322007	Form and specimen details different (finding)	Form and specimen details different		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
261014004	Frozen (qualifier value)	Frozen		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
IH	Improper Handling	Improper Handling		2.16.840.1.113883.12.490	Specimen Reject Reason (HL7)	PH_SpecimenRejectReason_HL7_2x	HL7 v2.5	HL70490
281267002	Incorrect sample received (finding)	Incorrect sample received		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
281268007	Insufficient sample (finding)	Insufficient sample		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
281266006	No sample received (finding)	No sample received		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
70753007	Old (qualifier value)	Old		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
281262008	Sample broken (finding)	Sample broken		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
281270003	Sample delayed in transit (finding)	Sample delayed in transit		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
118128002	Sample hemolyzed (finding)	Sample hemolyzed		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
281265005	Sample incorrectly labeled (finding)	Sample incorrectly labeled		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
281263003	Sample leaked (finding)	Sample leaked		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
125159002	Sample unlabeled (finding)	Sample unlabeled		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
281273001	Sample unsuitable for this assay (finding)	Sample unsuitable for this assay		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
373880007	Specimen rejected / not processed (finding)	Specimen rejected / not processed		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
125154007	Specimen unsatisfactory for evaluation (finding)	Specimen unsatisfactory for evaluation		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
373121007	Test not done (qualifier value)	Test not done		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
373881006	Unsatisfactory for evaluation due to lack of patient identification on specimen and/or requisition form (finding)	Unsatisfactory for evaluation due to lack of patient identification on specimen and/or requisition form		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
