Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
VPD Specimen Type	SpecimenTypeVPD	2.16.840.1.114222.4.11.7104	6	speicmen type terms used for VPD project.	Published	06/20/2020	Added Dried blood specimen and Respiratory specimen.

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
429951000124103	Bacterial isolate specimen (specimen)	Bacterial isolate specimen		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
119297000	Blood specimen (specimen)	Blood specimen		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
309051001	Body fluid sample (specimen)	Body fluid sample		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
258607008	Bronchoalveolar lavage fluid sample (specimen)	Bronchoalveolar lavage fluid sample		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
258564008	Buccal smear sample (specimen)	Buccal smear sample		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
PHC227	Buccal Swab	Buccal Swab		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
122554006	Capillary blood specimen (specimen)	Capillary blood specimen		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
128306009	Cataract (morphologic abnormality)	Cataract		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
258450006	Cerebrospinal fluid sample (specimen)	Cerebrospinal fluid sample		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
69640009	Crust (morphologic abnormality)	Crust		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
258566005	Deoxyribonucleic acid sample (specimen)	Deoxyribonucleic acid sample		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
119294007	Dried blood specimen (specimen)	Dried blood specimen		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
309049000	Lesion sample (specimen)	Lesion sample		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
PHC228	Macular Scraping	Macular Scraping		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
119303007	Microbial isolate specimen (specimen)	Microbial isolate specimen		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
258411007	Nasopharyngeal aspirate (specimen)	Nasopharyngeal aspirate		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
258500001	Nasopharyngeal swab (specimen)	Nasopharyngeal swab		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
258467004	Nasopharyngeal washings (specimen)	Nasopharyngeal washings		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
448789008	Nucleic acid specimen (specimen)	Nucleic acid specimen		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
441620008	Oral fluid specimen (specimen)	Oral fluid specimen		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
418932006	Oral swab (specimen)	Oral swab		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
119361006	Plasma specimen (specimen)	Plasma specimen		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
258603007	Respiratory sample (specimen)	Respiratory specimen		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
441673008	Ribonucleic acid specimen (specimen)	Ribonucleic acid specimen		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
119342007	Saliva specimen (specimen)	Saliva specimen		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
435541000124108	Scab specimen (specimen)	Scab specimen		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
119364003	Serum specimen (specimen)	Serum specimen		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
309068002	Skin lesion sample (specimen)	Skin lesion sample		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
123038009	Specimen (specimen)	Specimen		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
122609004	Specimen from lung obtained by bronchial washing procedure (specimen)	Specimen from lung obtained by bronchial washing procedure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
440674008	Specimen obtained by lavage (specimen)	Specimen obtained by lavage		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
119339001	Stool specimen (specimen)	Stool specimen		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
257261003	Swab (specimen)	Swab		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
472862007	Swab from lesion of skin (specimen)	Swab from lesion of skin		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
472901003	Swab from nasal sinus (specimen)	Swab from nasal sinus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
472875007	Swab from vesicle (specimen)	Vesicular Swab		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
258529004	Throat swab (specimen)	Throat swab		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
119376003	Tissue specimen (specimen)	Tissue specimen		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
445297001	Swab of internal nose (specimen)	Swab of internal nose		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
